Null_Model,Replication,Silhouette_k_hat,BIC_k_hat,Gap_Statistic_k_hat
Null 1: i.i.d. Gaussian,174,3,2,1
Null 1: i.i.d. Gaussian,175,2,2,1
Null 1: i.i.d. Gaussian,176,2,2,1
Null 1: i.i.d. Gaussian,177,2,3,1
Null 1: i.i.d. Gaussian,178,2,2,1
Null 1: i.i.d. Gaussian,179,2,2,1
Null 1: i.i.d. Gaussian,180,2,3,1
Null 1: i.i.d. Gaussian,181,2,3,1
Null 1: i.i.d. Gaussian,182,2,2,1
Null 1: i.i.d. Gaussian,183,2,2,1
Null 1: i.i.d. Gaussian,184,2,2,1
Null 1: i.i.d. Gaussian,185,2,2,1
Null 1: i.i.d. Gaussian,186,2,2,1
Null 1: i.i.d. Gaussian,187,2,3,1
Null 1: i.i.d. Gaussian,188,2,2,1
Null 1: i.i.d. Gaussian,189,2,2,1
Null 1: i.i.d. Gaussian,190,2,2,1
Null 1: i.i.d. Gaussian,191,2,2,1
Null 1: i.i.d. Gaussian,192,2,2,1
Null 1: i.i.d. Gaussian,193,2,2,1
Null 1: i.i.d. Gaussian,194,2,2,1
Null 1: i.i.d. Gaussian,195,2,2,1
Null 1: i.i.d. Gaussian,196,2,3,1
Null 1: i.i.d. Gaussian,197,2,2,1
Null 1: i.i.d. Gaussian,198,2,2,1
Null 1: i.i.d. Gaussian,199,2,2,1
Null 2: i.i.d. Student-t(5),0,2,3,1
Null 2: i.i.d. Student-t(5),1,2,4,1
Null 2: i.i.d. Student-t(5),2,2,2,1
Null 2: i.i.d. Student-t(5),3,2,2,1
Null 2: i.i.d. Student-t(5),4,2,2,1
Null 2: i.i.d. Student-t(5),5,3,2,1
Null 2: i.i.d. Student-t(5),6,2,2,1
Null 2: i.i.d. Student-t(5),7,2,2,1
Null 2: i.i.d. Student-t(5),8,2,4,1
Null 2: i.i.d. Student-t(5),9,2,2,1
Null 2: i.i.d. Student-t(5),10,2,4,1
Null 2: i.i.d. Student-t(5),11,2,2,1
Null 2: i.i.d. Student-t(5),12,6,4,1
Null 2: i.i.d. Student-t(5),13,2,3,1
Null 2: i.i.d. Student-t(5),14,2,2,1
Null 2: i.i.d. Student-t(5),15,2,3,1
Null 2: i.i.d. Student-t(5),16,2,2,1
Null 2: i.i.d. Student-t(5),17,2,4,1
Null 2: i.i.d. Student-t(5),18,2,2,1
Null 2: i.i.d. Student-t(5),19,2,3,1
Null 2: i.i.d. Student-t(5),20,2,2,1
Null 2: i.i.d. Student-t(5),21,2,2,1
Null 2: i.i.d. Student-t(5),22,2,2,1
Null 2: i.i.d. Student-t(5),23,2,2,1
Null 2: i.i.d. Student-t(5),24,2,2,1
Null 2: i.i.d. Student-t(5),25,2,3,1
Null 2: i.i.d. Student-t(5),26,2,2,1
Null 2: i.i.d. Student-t(5),27,2,4,1
Null 2: i.i.d. Student-t(5),28,2,2,1
Null 2: i.i.d. Student-t(5),29,3,4,3
Null 2: i.i.d. Student-t(5),30,2,3,1
Null 2: i.i.d. Student-t(5),31,2,3,1
Null 2: i.i.d. Student-t(5),32,2,2,1
Null 2: i.i.d. Student-t(5),33,2,3,1
Null 2: i.i.d. Student-t(5),34,3,3,1
Null 2: i.i.d. Student-t(5),35,2,2,1
Null 2: i.i.d. Student-t(5),36,3,2,1
Null 2: i.i.d. Student-t(5),37,3,4,1
Null 2: i.i.d. Student-t(5),38,2,4,1
Null 2: i.i.d. Student-t(5),39,2,3,1
Null 2: i.i.d. Student-t(5),40,2,3,1
Null 2: i.i.d. Student-t(5),41,2,3,1
Null 2: i.i.d. Student-t(5),42,2,2,1
Null 2: i.i.d. Student-t(5),43,2,2,1
Null 2: i.i.d. Student-t(5),44,2,2,1
Null 2: i.i.d. Student-t(5),45,2,2,1
Null 2: i.i.d. Student-t(5),46,2,2,1
Null 2: i.i.d. Student-t(5),47,2,4,1
Null 2: i.i.d. Student-t(5),48,2,3,1
Null 2: i.i.d. Student-t(5),49,2,2,1
Null 2: i.i.d. Student-t(5),50,2,2,1
Null 2: i.i.d. Student-t(5),51,2,2,1
Null 2: i.i.d. Student-t(5),52,2,3,1
Null 2: i.i.d. Student-t(5),53,2,2,1
Null 2: i.i.d. Student-t(5),54,2,2,1
Null 2: i.i.d. Student-t(5),55,2,2,1
Null 2: i.i.d. Student-t(5),56,2,2,1
Null 2: i.i.d. Student-t(5),57,2,2,1
Null 2: i.i.d. Student-t(5),58,2,2,1
Null 2: i.i.d. Student-t(5),59,2,2,1
Null 2: i.i.d. Student-t(5),60,2,3,1
Null 2: i.i.d. Student-t(5),61,2,2,1
Null 2: i.i.d. Student-t(5),62,2,2,1
Null 2: i.i.d. Student-t(5),63,3,2,1
Null 2: i.i.d. Student-t(5),64,2,3,1
Null 2: i.i.d. Student-t(5),65,3,3,1
Null 2: i.i.d. Student-t(5),66,2,4,1
Null 2: i.i.d. Student-t(5),67,2,2,1
Null 2: i.i.d. Student-t(5),68,3,2,1
Null 2: i.i.d. Student-t(5),69,2,3,1
Null 2: i.i.d. Student-t(5),70,2,4,1
Null 2: i.i.d. Student-t(5),71,2,2,1
Null 2: i.i.d. Student-t(5),72,3,3,1
Null 2: i.i.d. Student-t(5),73,2,2,1
Null 2: i.i.d. Student-t(5),74,2,2,1
Null 2: i.i.d. Student-t(5),75,2,2,1
Null 2: i.i.d. Student-t(5),76,2,2,1
Null 2: i.i.d. Student-t(5),77,2,3,1
Null 2: i.i.d. Student-t(5),78,2,2,1
Null 2: i.i.d. Student-t(5),79,3,2,1
Null 2: i.i.d. Student-t(5),80,2,2,1
Null 2: i.i.d. Student-t(5),81,2,2,1
Null 2: i.i.d. Student-t(5),82,2,3,1
Null 2: i.i.d. Student-t(5),83,2,4,1
Null 2: i.i.d. Student-t(5),84,2,3,1
Null 2: i.i.d. Student-t(5),85,3,3,1
Null 2: i.i.d. Student-t(5),86,5,4,1
Null 2: i.i.d. Student-t(5),87,2,2,1
Null 2: i.i.d. Student-t(5),88,2,3,1
Null 2: i.i.d. Student-t(5),89,2,2,1
Null 2: i.i.d. Student-t(5),90,2,2,1
Null 2: i.i.d. Student-t(5),91,2,2,1
Null 2: i.i.d. Student-t(5),92,3,2,1
Null 2: i.i.d. Student-t(5),93,2,2,1
Null 2: i.i.d. Student-t(5),94,3,4,3
Null 2: i.i.d. Student-t(5),95,2,2,1
Null 2: i.i.d. Student-t(5),96,2,2,1
Null 2: i.i.d. Student-t(5),97,2,2,1
Null 2: i.i.d. Student-t(5),98,2,2,1
Null 2: i.i.d. Student-t(5),99,2,6,1
Null 2: i.i.d. Student-t(5),100,2,3,1
Null 2: i.i.d. Student-t(5),101,2,4,1
Null 2: i.i.d. Student-t(5),102,2,2,1
Null 2: i.i.d. Student-t(5),103,2,2,1
Null 2: i.i.d. Student-t(5),104,2,2,1
Null 2: i.i.d. Student-t(5),105,2,3,1
Null 2: i.i.d. Student-t(5),106,2,2,1
Null 2: i.i.d. Student-t(5),107,2,2,1
Null 2: i.i.d. Student-t(5),108,2,2,1
Null 2: i.i.d. Student-t(5),109,2,2,1
Null 2: i.i.d. Student-t(5),110,2,4,1
Null 2: i.i.d. Student-t(5),111,2,2,1
Null 2: i.i.d. Student-t(5),112,2,2,1
Null 2: i.i.d. Student-t(5),113,2,2,1
Null 2: i.i.d. Student-t(5),114,2,2,1
Null 2: i.i.d. Student-t(5),115,2,2,1
Null 2: i.i.d. Student-t(5),116,2,2,1
Null 2: i.i.d. Student-t(5),117,2,2,1
Null 2: i.i.d. Student-t(5),118,2,2,1
Null 2: i.i.d. Student-t(5),119,3,3,1
Null 2: i.i.d. Student-t(5),120,2,3,1
Null 2: i.i.d. Student-t(5),121,2,4,1
Null 2: i.i.d. Student-t(5),122,2,2,1
Null 2: i.i.d. Student-t(5),123,2,2,1
Null 2: i.i.d. Student-t(5),124,2,4,1
Null 2: i.i.d. Student-t(5),125,2,4,1
Null 2: i.i.d. Student-t(5),126,2,2,1
Null 2: i.i.d. Student-t(5),127,2,2,1
Null 2: i.i.d. Student-t(5),128,5,4,1
Null 2: i.i.d. Student-t(5),129,2,2,1
Null 2: i.i.d. Student-t(5),130,2,2,1
Null 2: i.i.d. Student-t(5),131,2,2,1
Null 2: i.i.d. Student-t(5),132,2,2,1
Null 2: i.i.d. Student-t(5),133,2,2,1
Null 2: i.i.d. Student-t(5),134,2,2,1
Null 2: i.i.d. Student-t(5),135,2,3,1
Null 2: i.i.d. Student-t(5),136,2,2,1
Null 2: i.i.d. Student-t(5),137,2,2,1
Null 2: i.i.d. Student-t(5),138,2,2,1
Null 2: i.i.d. Student-t(5),139,2,2,1
Null 2: i.i.d. Student-t(5),140,2,4,1
Null 2: i.i.d. Student-t(5),141,2,2,1
Null 2: i.i.d. Student-t(5),142,2,3,1
Null 2: i.i.d. Student-t(5),143,5,4,1
Null 2: i.i.d. Student-t(5),144,3,3,1
Null 2: i.i.d. Student-t(5),145,2,3,1
Null 2: i.i.d. Student-t(5),146,2,2,1
Null 2: i.i.d. Student-t(5),147,2,3,1
Null 2: i.i.d. Student-t(5),148,2,5,1
Null 2: i.i.d. Student-t(5),149,2,2,1
Null 2: i.i.d. Student-t(5),150,2,2,1
Null 2: i.i.d. Student-t(5),151,2,2,1
Null 2: i.i.d. Student-t(5),152,2,2,1
Null 2: i.i.d. Student-t(5),153,2,3,1
Null 2: i.i.d. Student-t(5),154,2,2,1
Null 2: i.i.d. Student-t(5),155,2,3,1
Null 2: i.i.d. Student-t(5),156,2,2,1
Null 2: i.i.d. Student-t(5),157,2,2,1
Null 2: i.i.d. Student-t(5),158,2,2,1
Null 2: i.i.d. Student-t(5),159,2,3,1
Null 2: i.i.d. Student-t(5),160,2,2,1
Null 2: i.i.d. Student-t(5),161,2,2,1
Null 2: i.i.d. Student-t(5),162,3,2,1
Null 2: i.i.d. Student-t(5),163,2,2,1
Null 2: i.i.d. Student-t(5),164,2,2,1
Null 2: i.i.d. Student-t(5),165,2,2,1
Null 2: i.i.d. Student-t(5),166,2,2,1
Null 2: i.i.d. Student-t(5),167,2,2,1
Null 2: i.i.d. Student-t(5),168,2,2,1
Null 2: i.i.d. Student-t(5),169,2,2,1
Null 2: i.i.d. Student-t(5),170,2,3,1
Null 2: i.i.d. Student-t(5),171,2,2,1
Null 2: i.i.d. Student-t(5),172,2,3,1
Null 2: i.i.d. Student-t(5),173,2,2,1
Null 2: i.i.d. Student-t(5),174,3,2,1
Null 2: i.i.d. Student-t(5),175,2,2,1
Null 2: i.i.d. Student-t(5),176,2,2,1
Null 2: i.i.d. Student-t(5),177,2,4,1
Null 2: i.i.d. Student-t(5),178,2,2,1
Null 2: i.i.d. Student-t(5),179,3,2,1
Null 2: i.i.d. Student-t(5),180,2,2,1
Null 2: i.i.d. Student-t(5),181,2,2,1
Null 2: i.i.d. Student-t(5),182,2,2,1
Null 2: i.i.d. Student-t(5),183,2,2,1
Null 2: i.i.d. Student-t(5),184,2,3,1
Null 2: i.i.d. Student-t(5),185,2,2,1
Null 2: i.i.d. Student-t(5),186,2,3,1
Null 2: i.i.d. Student-t(5),187,2,2,1
Null 2: i.i.d. Student-t(5),188,2,2,1
Null 2: i.i.d. Student-t(5),189,2,2,1
Null 2: i.i.d. Student-t(5),190,2,2,1
Null 2: i.i.d. Student-t(5),191,2,2,1
Null 2: i.i.d. Student-t(5),192,2,2,1
Null 2: i.i.d. Student-t(5),193,2,2,1
Null 2: i.i.d. Student-t(5),194,2,4,1
Null 2: i.i.d. Student-t(5),195,2,2,1
Null 2: i.i.d. Student-t(5),196,2,2,1
Null 2: i.i.d. Student-t(5),197,2,3,1
Null 2: i.i.d. Student-t(5),198,2,2,1
Null 2: i.i.d. Student-t(5),199,2,2,1
"Null 3: Single-Regime GARCH(1,1)",0,2,3,1
"Null 3: Single-Regime GARCH(1,1)",1,2,5,1
"Null 3: Single-Regime GARCH(1,1)",2,2,4,1
"Null 3: Single-Regime GARCH(1,1)",3,2,3,1
"Null 3: Single-Regime GARCH(1,1)",4,2,3,1
"Null 3: Single-Regime GARCH(1,1)",5,2,5,1
"Null 3: Single-Regime GARCH(1,1)",6,2,3,1
"Null 3: Single-Regime GARCH(1,1)",7,2,5,1
"Null 3: Single-Regime GARCH(1,1)",8,2,6,1
"Null 3: Single-Regime GARCH(1,1)",9,2,4,1
"Null 3: Single-Regime GARCH(1,1)",10,2,4,1
"Null 3: Single-Regime GARCH(1,1)",11,2,4,1
"Null 3: Single-Regime GARCH(1,1)",12,2,4,1
"Null 3: Single-Regime GARCH(1,1)",13,2,4,1
"Null 3: Single-Regime GARCH(1,1)",14,2,6,1
"Null 3: Single-Regime GARCH(1,1)",15,2,4,1
"Null 3: Single-Regime GARCH(1,1)",16,2,3,1
"Null 3: Single-Regime GARCH(1,1)",17,2,4,1
"Null 3: Single-Regime GARCH(1,1)",18,2,3,1
"Null 3: Single-Regime GARCH(1,1)",19,2,4,1
"Null 3: Single-Regime GARCH(1,1)",20,2,3,1
"Null 3: Single-Regime GARCH(1,1)",21,2,4,1
"Null 3: Single-Regime GARCH(1,1)",22,2,4,1
"Null 3: Single-Regime GARCH(1,1)",23,2,4,1
"Null 3: Single-Regime GARCH(1,1)",24,2,4,1
"Null 3: Single-Regime GARCH(1,1)",25,2,4,1
"Null 3: Single-Regime GARCH(1,1)",26,2,5,1
"Null 3: Single-Regime GARCH(1,1)",27,2,4,1
"Null 3: Single-Regime GARCH(1,1)",28,2,2,1
"Null 3: Single-Regime GARCH(1,1)",29,2,4,1
"Null 3: Single-Regime GARCH(1,1)",30,2,4,1
"Null 3: Single-Regime GARCH(1,1)",31,5,5,1
"Null 3: Single-Regime GARCH(1,1)",32,2,4,1
"Null 3: Single-Regime GARCH(1,1)",33,2,4,1
"Null 3: Single-Regime GARCH(1,1)",34,2,5,1
"Null 3: Single-Regime GARCH(1,1)",35,2,5,1
"Null 3: Single-Regime GARCH(1,1)",36,2,5,1
"Null 3: Single-Regime GARCH(1,1)",37,2,6,1
"Null 3: Single-Regime GARCH(1,1)",38,2,5,1
"Null 3: Single-Regime GARCH(1,1)",39,2,4,1
"Null 3: Single-Regime GARCH(1,1)",40,2,6,2
"Null 3: Single-Regime GARCH(1,1)",41,2,4,1
"Null 3: Single-Regime GARCH(1,1)",42,3,3,1
"Null 3: Single-Regime GARCH(1,1)",43,2,2,1
"Null 3: Single-Regime GARCH(1,1)",44,2,4,1
"Null 3: Single-Regime GARCH(1,1)",45,2,3,1
"Null 3: Single-Regime GARCH(1,1)",46,2,3,1
"Null 3: Single-Regime GARCH(1,1)",47,2,4,1
"Null 3: Single-Regime GARCH(1,1)",48,2,4,1
"Null 3: Single-Regime GARCH(1,1)",49,2,6,1
"Null 3: Single-Regime GARCH(1,1)",50,2,3,1
"Null 3: Single-Regime GARCH(1,1)",51,2,4,1
"Null 3: Single-Regime GARCH(1,1)",52,2,4,1
"Null 3: Single-Regime GARCH(1,1)",53,2,3,1
"Null 3: Single-Regime GARCH(1,1)",54,2,4,1
"Null 3: Single-Regime GARCH(1,1)",55,2,2,1
"Null 3: Single-Regime GARCH(1,1)",56,2,5,1
"Null 3: Single-Regime GARCH(1,1)",57,2,4,1
"Null 3: Single-Regime GARCH(1,1)",58,2,4,1
"Null 3: Single-Regime GARCH(1,1)",59,2,2,1
"Null 3: Single-Regime GARCH(1,1)",60,3,3,1
"Null 3: Single-Regime GARCH(1,1)",61,2,3,1
"Null 3: Single-Regime GARCH(1,1)",62,2,3,1
"Null 3: Single-Regime GARCH(1,1)",63,2,4,1
"Null 3: Single-Regime GARCH(1,1)",64,2,4,1
"Null 3: Single-Regime GARCH(1,1)",65,2,5,1
"Null 3: Single-Regime GARCH(1,1)",66,2,4,1
"Null 3: Single-Regime GARCH(1,1)",67,2,4,1
"Null 3: Single-Regime GARCH(1,1)",68,2,3,1
"Null 3: Single-Regime GARCH(1,1)",69,2,5,1
"Null 3: Single-Regime GARCH(1,1)",70,2,3,1
"Null 3: Single-Regime GARCH(1,1)",71,2,5,1
"Null 3: Single-Regime GARCH(1,1)",72,2,5,1
"Null 3: Single-Regime GARCH(1,1)",73,2,4,1
"Null 3: Single-Regime GARCH(1,1)",74,2,3,1
"Null 3: Single-Regime GARCH(1,1)",75,2,4,1
"Null 3: Single-Regime GARCH(1,1)",76,2,3,1
"Null 3: Single-Regime GARCH(1,1)",77,2,6,1
"Null 3: Single-Regime GARCH(1,1)",78,2,3,1
"Null 3: Single-Regime GARCH(1,1)",79,2,5,1
"Null 3: Single-Regime GARCH(1,1)",80,2,3,1
"Null 3: Single-Regime GARCH(1,1)",81,2,3,1
"Null 3: Single-Regime GARCH(1,1)",82,2,4,1
"Null 3: Single-Regime GARCH(1,1)",83,2,4,1
"Null 3: Single-Regime GARCH(1,1)",84,2,4,1
"Null 3: Single-Regime GARCH(1,1)",85,2,5,1
"Null 3: Single-Regime GARCH(1,1)",86,2,3,1
"Null 3: Single-Regime GARCH(1,1)",87,2,3,1
"Null 3: Single-Regime GARCH(1,1)",88,2,3,1
"Null 3: Single-Regime GARCH(1,1)",89,2,3,1
"Null 3: Single-Regime GARCH(1,1)",90,2,4,1
"Null 3: Single-Regime GARCH(1,1)",91,2,3,1
"Null 3: Single-Regime GARCH(1,1)",92,2,4,1
"Null 3: Single-Regime GARCH(1,1)",93,2,3,1
"Null 3: Single-Regime GARCH(1,1)",94,2,4,1
"Null 3: Single-Regime GARCH(1,1)",95,2,2,1
"Null 3: Single-Regime GARCH(1,1)",96,2,3,1
"Null 3: Single-Regime GARCH(1,1)",97,2,3,1
"Null 3: Single-Regime GARCH(1,1)",98,2,3,1
"Null 3: Single-Regime GARCH(1,1)",99,2,4,1
"Null 3: Single-Regime GARCH(1,1)",100,2,4,1
"Null 3: Single-Regime GARCH(1,1)",101,2,5,1
"Null 3: Single-Regime GARCH(1,1)",102,2,3,1
"Null 3: Single-Regime GARCH(1,1)",103,2,3,1
"Null 3: Single-Regime GARCH(1,1)",104,2,3,1
"Null 3: Single-Regime GARCH(1,1)",105,2,5,1
"Null 3: Single-Regime GARCH(1,1)",106,2,4,1
"Null 3: Single-Regime GARCH(1,1)",107,2,4,1
"Null 3: Single-Regime GARCH(1,1)",108,2,4,1
"Null 3: Single-Regime GARCH(1,1)",109,2,4,1
"Null 3: Single-Regime GARCH(1,1)",110,2,5,2
"Null 3: Single-Regime GARCH(1,1)",111,2,4,1
"Null 3: Single-Regime GARCH(1,1)",112,2,3,1
"Null 3: Single-Regime GARCH(1,1)",113,2,3,1
"Null 3: Single-Regime GARCH(1,1)",114,2,4,1
"Null 3: Single-Regime GARCH(1,1)",115,2,3,1
"Null 3: Single-Regime GARCH(1,1)",116,2,5,1
"Null 3: Single-Regime GARCH(1,1)",117,2,5,1
"Null 3: Single-Regime GARCH(1,1)",118,2,6,1
"Null 3: Single-Regime GARCH(1,1)",119,2,5,1
"Null 3: Single-Regime GARCH(1,1)",120,2,2,1
"Null 3: Single-Regime GARCH(1,1)",121,3,3,1
"Null 3: Single-Regime GARCH(1,1)",122,2,3,1
