True_k,Replication,Separation,N_Samples,N_Features,Method,Criterion,Candidate_Range,Estimated_k,Exact_Match,Signed_Bias,ARI_at_Estimated_k
2,5,6.0,800,2,GMM,BIC,2-12,2,1,0,0.9900125003128916
2,5,6.0,800,2,GMM,AIC,2-12,2,1,0,0.9900125003128916
2,5,6.0,800,2,GMM,ICL,2-12,2,1,0,0.9900125003128916
2,5,6.0,800,2,GMM,BIC_Neff,2-12,2,1,0,0.9900125003128916
2,5,6.0,800,2,HMM,BIC,2-12,2,1,0,0.9949999922070802
2,5,6.0,800,2,HMM,AIC,2-12,2,1,0,0.9949999922070802
2,5,6.0,800,2,HMM,ICL,2-12,2,1,0,0.9949999922070802
2,5,6.0,800,2,K-Means,Gap (uniform),1-6,2,1,0,0.9900125003128916
2,5,6.0,800,2,K-Means,Prediction Strength,1-6,2,1,0,0.9900125003128916
2,6,6.0,800,2,K-Means,Silhouette,2-12,2,1,0,0.9949999922070802
2,6,6.0,800,2,K-Means,Davies-Bouldin,2-12,2,1,0,0.9949999922070802
2,6,6.0,800,2,K-Means,Calinski-Harabasz,2-12,2,1,0,0.9949999922070802
2,6,6.0,800,2,GMM,BIC,2-12,2,1,0,0.9900125003128916
2,6,6.0,800,2,GMM,AIC,2-12,2,1,0,0.9900125003128916
2,6,6.0,800,2,GMM,ICL,2-12,2,1,0,0.9900125003128916
2,6,6.0,800,2,GMM,BIC_Neff,2-12,2,1,0,0.9900125003128916
2,6,6.0,800,2,HMM,BIC,2-12,2,1,0,0.9900125003128916
2,6,6.0,800,2,HMM,AIC,2-12,2,1,0,0.9900125003128916
2,6,6.0,800,2,HMM,ICL,2-12,2,1,0,0.9900125003128916
2,6,6.0,800,2,K-Means,Gap (uniform),1-6,2,1,0,0.9949999922070802
2,6,6.0,800,2,K-Means,Prediction Strength,1-6,2,1,0,0.9949999922070802
2,7,6.0,800,2,K-Means,Silhouette,2-12,2,1,0,0.9949999922070802
2,7,6.0,800,2,K-Means,Davies-Bouldin,2-12,2,1,0,0.9949999922070802
2,7,6.0,800,2,K-Means,Calinski-Harabasz,2-12,2,1,0,0.9949999922070802
2,7,6.0,800,2,GMM,BIC,2-12,2,1,0,0.9949999922070802
2,7,6.0,800,2,GMM,AIC,2-12,2,1,0,0.9949999922070802
2,7,6.0,800,2,GMM,ICL,2-12,2,1,0,0.9949999922070802
2,7,6.0,800,2,GMM,BIC_Neff,2-12,2,1,0,0.9949999922070802
2,7,6.0,800,2,HMM,BIC,2-12,3,0,1,0.9900312115816947
2,7,6.0,800,2,HMM,AIC,2-12,3,0,1,0.9900312115816947
2,7,6.0,800,2,HMM,ICL,2-12,3,0,1,0.9900312115816947
2,7,6.0,800,2,K-Means,Gap (uniform),1-6,2,1,0,0.9949999922070802
2,7,6.0,800,2,K-Means,Prediction Strength,1-6,2,1,0,0.9949999922070802
2,8,6.0,800,2,K-Means,Silhouette,2-12,2,1,0,0.9800750632808564
2,8,6.0,800,2,K-Means,Davies-Bouldin,2-12,2,1,0,0.9800750632808564
2,8,6.0,800,2,K-Means,Calinski-Harabasz,2-12,2,1,0,0.9800750632808564
2,8,6.0,800,2,GMM,BIC,2-12,2,1,0,0.9850375245509264
2,8,6.0,800,2,GMM,AIC,2-12,2,1,0,0.9850375245509264
2,8,6.0,800,2,GMM,ICL,2-12,2,1,0,0.9850375245509264
2,8,6.0,800,2,GMM,BIC_Neff,2-12,2,1,0,0.9850375245509264
2,8,6.0,800,2,HMM,BIC,2-12,2,1,0,0.9800750632808564
2,8,6.0,800,2,HMM,AIC,2-12,2,1,0,0.9800750632808564
2,8,6.0,800,2,HMM,ICL,2-12,2,1,0,0.9800750632808564
2,8,6.0,800,2,K-Means,Gap (uniform),1-6,2,1,0,0.9800750632808564
2,8,6.0,800,2,K-Means,Prediction Strength,1-6,2,1,0,0.9800750632808564
2,9,6.0,800,2,K-Means,Silhouette,2-12,2,1,0,0.9900125003128916
2,9,6.0,800,2,K-Means,Davies-Bouldin,2-12,2,1,0,0.9900125003128916
2,9,6.0,800,2,K-Means,Calinski-Harabasz,2-12,2,1,0,0.9900125003128916
2,9,6.0,800,2,GMM,BIC,2-12,2,1,0,0.9949999922070802
2,9,6.0,800,2,GMM,AIC,2-12,2,1,0,0.9949999922070802
2,9,6.0,800,2,GMM,ICL,2-12,2,1,0,0.9949999922070802
2,9,6.0,800,2,GMM,BIC_Neff,2-12,2,1,0,0.9949999922070802
2,9,6.0,800,2,HMM,BIC,2-12,2,1,0,0.9949999922070802
2,9,6.0,800,2,HMM,AIC,2-12,2,1,0,0.9949999922070802
2,9,6.0,800,2,HMM,ICL,2-12,2,1,0,0.9949999922070802
2,9,6.0,800,2,K-Means,Gap (uniform),1-6,2,1,0,0.9900125003128916
2,9,6.0,800,2,K-Means,Prediction Strength,1-6,2,1,0,0.9900125003128916
2,10,6.0,800,2,K-Means,Silhouette,2-12,2,1,0,0.9949999922070802
2,10,6.0,800,2,K-Means,Davies-Bouldin,2-12,2,1,0,0.9949999922070802
2,10,6.0,800,2,K-Means,Calinski-Harabasz,2-12,2,1,0,0.9949999922070802
2,10,6.0,800,2,GMM,BIC,2-12,2,1,0,0.9949999922070802
2,10,6.0,800,2,GMM,AIC,2-12,2,1,0,0.9949999922070802
2,10,6.0,800,2,GMM,ICL,2-12,2,1,0,0.9949999922070802
2,10,6.0,800,2,GMM,BIC_Neff,2-12,2,1,0,0.9949999922070802
2,10,6.0,800,2,HMM,BIC,2-12,2,1,0,0.9949999922070802
2,10,6.0,800,2,HMM,AIC,2-12,4,0,2,0.7624638921593784
2,10,6.0,800,2,HMM,ICL,2-12,2,1,0,0.9949999922070802
2,10,6.0,800,2,K-Means,Gap (uniform),1-6,2,1,0,0.9949999922070802
2,10,6.0,800,2,K-Means,Prediction Strength,1-6,2,1,0,0.9949999922070802
2,11,6.0,800,2,K-Means,Silhouette,2-12,2,1,0,1.0
2,11,6.0,800,2,K-Means,Davies-Bouldin,2-12,2,1,0,1.0
2,11,6.0,800,2,K-Means,Calinski-Harabasz,2-12,2,1,0,1.0
2,11,6.0,800,2,GMM,BIC,2-12,2,1,0,1.0
2,11,6.0,800,2,GMM,AIC,2-12,2,1,0,1.0
2,11,6.0,800,2,GMM,ICL,2-12,2,1,0,1.0
2,11,6.0,800,2,GMM,BIC_Neff,2-12,2,1,0,1.0
2,11,6.0,800,2,HMM,BIC,2-12,3,0,1,0.7617308468276445
2,11,6.0,800,2,HMM,AIC,2-12,3,0,1,0.7617308468276445
2,11,6.0,800,2,HMM,ICL,2-12,5,0,3,0.9108097149809089
2,11,6.0,800,2,K-Means,Gap (uniform),1-6,2,1,0,1.0
2,11,6.0,800,2,K-Means,Prediction Strength,1-6,2,1,0,1.0
2,12,6.0,800,2,K-Means,Silhouette,2-12,2,1,0,1.0
2,12,6.0,800,2,K-Means,Davies-Bouldin,2-12,2,1,0,1.0
2,12,6.0,800,2,K-Means,Calinski-Harabasz,2-12,2,1,0,1.0
2,12,6.0,800,2,GMM,BIC,2-12,2,1,0,0.9900125003128916
2,12,6.0,800,2,GMM,AIC,2-12,2,1,0,0.9900125003128916
2,12,6.0,800,2,GMM,ICL,2-12,2,1,0,0.9900125003128916
2,12,6.0,800,2,GMM,BIC_Neff,2-12,2,1,0,0.9900125003128916
2,12,6.0,800,2,HMM,BIC,2-12,2,1,0,0.9900125003128916
2,12,6.0,800,2,HMM,AIC,2-12,2,1,0,0.9900125003128916
2,12,6.0,800,2,HMM,ICL,2-12,2,1,0,0.9900125003128916
2,12,6.0,800,2,K-Means,Gap (uniform),1-6,2,1,0,1.0
2,12,6.0,800,2,K-Means,Prediction Strength,1-6,2,1,0,1.0
2,13,6.0,800,2,K-Means,Silhouette,2-12,2,1,0,0.9900125003128916
2,13,6.0,800,2,K-Means,Davies-Bouldin,2-12,2,1,0,0.9900125003128916
2,13,6.0,800,2,K-Means,Calinski-Harabasz,2-12,2,1,0,0.9900125003128916
2,13,6.0,800,2,GMM,BIC,2-12,2,1,0,0.9900125003128916
2,13,6.0,800,2,GMM,AIC,2-12,2,1,0,0.9900125003128916
2,13,6.0,800,2,GMM,ICL,2-12,2,1,0,0.9900125003128916
2,13,6.0,800,2,GMM,BIC_Neff,2-12,2,1,0,0.9900125003128916
2,13,6.0,800,2,HMM,BIC,2-12,2,1,0,0.9900125003128916
2,13,6.0,800,2,HMM,AIC,2-12,2,1,0,0.9900125003128916
2,13,6.0,800,2,HMM,ICL,2-12,2,1,0,0.9900125003128916
2,13,6.0,800,2,K-Means,Gap (uniform),1-6,2,1,0,0.9900125003128916
2,13,6.0,800,2,K-Means,Prediction Strength,1-6,2,1,0,0.9900125003128916
2,14,6.0,800,2,K-Means,Silhouette,2-12,2,1,0,0.9949999922070802
2,14,6.0,800,2,K-Means,Davies-Bouldin,2-12,2,1,0,0.9949999922070802
2,14,6.0,800,2,K-Means,Calinski-Harabasz,2-12,2,1,0,0.9949999922070802
2,14,6.0,800,2,GMM,BIC,2-12,2,1,0,1.0
2,14,6.0,800,2,GMM,AIC,2-12,2,1,0,1.0
2,14,6.0,800,2,GMM,ICL,2-12,2,1,0,1.0
2,14,6.0,800,2,GMM,BIC_Neff,2-12,2,1,0,1.0
2,14,6.0,800,2,HMM,BIC,2-12,3,0,1,0.7994302903183738
2,14,6.0,800,2,HMM,AIC,2-12,3,0,1,0.7994302903183738
2,14,6.0,800,2,HMM,ICL,2-12,4,0,2,0.6817833057678258
2,14,6.0,800,2,K-Means,Gap (uniform),1-6,2,1,0,0.9949999922070802
2,14,6.0,800,2,K-Means,Prediction Strength,1-6,2,1,0,0.9949999922070802
2,15,6.0,800,2,K-Means,Silhouette,2-12,2,1,0,1.0
2,15,6.0,800,2,K-Means,Davies-Bouldin,2-12,2,1,0,1.0
2,15,6.0,800,2,K-Means,Calinski-Harabasz,2-12,2,1,0,1.0
2,15,6.0,800,2,GMM,BIC,2-12,2,1,0,1.0
2,15,6.0,800,2,GMM,AIC,2-12,2,1,0,1.0
2,15,6.0,800,2,GMM,ICL,2-12,2,1,0,1.0
2,15,6.0,800,2,GMM,BIC_Neff,2-12,2,1,0,1.0
2,15,6.0,800,2,HMM,BIC,2-12,2,1,0,1.0
2,15,6.0,800,2,HMM,AIC,2-12,2,1,0,1.0
2,15,6.0,800,2,HMM,ICL,2-12,2,1,0,1.0
2,15,6.0,800,2,K-Means,Gap (uniform),1-6,2,1,0,1.0
2,15,6.0,800,2,K-Means,Prediction Strength,1-6,2,1,0,1.0
2,16,6.0,800,2,K-Means,Silhouette,2-12,2,1,0,1.0
2,16,6.0,800,2,K-Means,Davies-Bouldin,2-12,2,1,0,1.0
2,16,6.0,800,2,K-Means,Calinski-Harabasz,2-12,2,1,0,1.0
2,16,6.0,800,2,GMM,BIC,2-12,2,1,0,1.0
2,16,6.0,800,2,GMM,AIC,2-12,2,1,0,1.0
2,16,6.0,800,2,GMM,ICL,2-12,2,1,0,1.0
2,16,6.0,800,2,GMM,BIC_Neff,2-12,2,1,0,1.0
2,16,6.0,800,2,HMM,BIC,2-12,3,0,1,0.9754247410347173
2,16,6.0,800,2,HMM,AIC,2-12,3,0,1,0.9754247410347173
2,16,6.0,800,2,HMM,ICL,2-12,3,0,1,0.9754247410347173
2,16,6.0,800,2,K-Means,Gap (uniform),1-6,2,1,0,1.0
2,16,6.0,800,2,K-Means,Prediction Strength,1-6,2,1,0,1.0
2,17,6.0,800,2,K-Means,Silhouette,2-12,2,1,0,1.0
2,17,6.0,800,2,K-Means,Davies-Bouldin,2-12,2,1,0,1.0
2,17,6.0,800,2,K-Means,Calinski-Harabasz,2-12,2,1,0,1.0
2,17,6.0,800,2,GMM,BIC,2-12,2,1,0,1.0
2,17,6.0,800,2,GMM,AIC,2-12,2,1,0,1.0
2,17,6.0,800,2,GMM,ICL,2-12,2,1,0,1.0
2,17,6.0,800,2,GMM,BIC_Neff,2-12,2,1,0,1.0
2,17,6.0,800,2,HMM,BIC,2-12,2,1,0,1.0
2,17,6.0,800,2,HMM,AIC,2-12,2,1,0,1.0
2,17,6.0,800,2,HMM,ICL,2-12,2,1,0,1.0
2,17,6.0,800,2,K-Means,Gap (uniform),1-6,2,1,0,1.0
2,17,6.0,800,2,K-Means,Prediction Strength,1-6,2,1,0,1.0
2,18,6.0,800,2,K-Means,Silhouette,2-12,2,1,0,0.9949999922070802
2,18,6.0,800,2,K-Means,Davies-Bouldin,2-12,2,1,0,0.9949999922070802
2,18,6.0,800,2,K-Means,Calinski-Harabasz,2-12,2,1,0,0.9949999922070802
2,18,6.0,800,2,GMM,BIC,2-12,2,1,0,0.9949999922070802
2,18,6.0,800,2,GMM,AIC,2-12,2,1,0,0.9949999922070802
2,18,6.0,800,2,GMM,ICL,2-12,2,1,0,0.9949999922070802
2,18,6.0,800,2,GMM,BIC_Neff,2-12,2,1,0,0.9949999922070802
2,18,6.0,800,2,HMM,BIC,2-12,2,1,0,0.9949999922070802
2,18,6.0,800,2,HMM,AIC,2-12,2,1,0,0.9949999922070802
2,18,6.0,800,2,HMM,ICL,2-12,2,1,0,0.9949999922070802
2,18,6.0,800,2,K-Means,Gap (uniform),1-6,2,1,0,0.9949999922070802
2,18,6.0,800,2,K-Means,Prediction Strength,1-6,2,1,0,0.9949999922070802
2,19,6.0,800,2,K-Means,Silhouette,2-12,2,1,0,0.9949999922070802
2,19,6.0,800,2,K-Means,Davies-Bouldin,2-12,2,1,0,0.9949999922070802
2,19,6.0,800,2,K-Means,Calinski-Harabasz,2-12,2,1,0,0.9949999922070802
2,19,6.0,800,2,GMM,BIC,2-12,2,1,0,0.9949999922070802
2,19,6.0,800,2,GMM,AIC,2-12,2,1,0,0.9949999922070802
2,19,6.0,800,2,GMM,ICL,2-12,2,1,0,0.9949999922070802
2,19,6.0,800,2,GMM,BIC_Neff,2-12,2,1,0,0.9949999922070802
2,19,6.0,800,2,HMM,BIC,2-12,2,1,0,0.9949999922070802
2,19,6.0,800,2,HMM,AIC,2-12,2,1,0,0.9949999922070802
2,19,6.0,800,2,HMM,ICL,2-12,2,1,0,0.9949999922070802
2,19,6.0,800,2,K-Means,Gap (uniform),1-6,2,1,0,0.9949999922070802
2,19,6.0,800,2,K-Means,Prediction Strength,1-6,2,1,0,0.9949999922070802
2,20,6.0,800,2,K-Means,Silhouette,2-12,2,1,0,0.9900125003128916
2,20,6.0,800,2,K-Means,Davies-Bouldin,2-12,2,1,0,0.9900125003128916
2,20,6.0,800,2,K-Means,Calinski-Harabasz,2-12,2,1,0,0.9900125003128916
2,20,6.0,800,2,GMM,BIC,2-12,2,1,0,0.9900125
2,20,6.0,800,2,GMM,AIC,2-12,2,1,0,0.9900125
2,20,6.0,800,2,GMM,ICL,2-12,2,1,0,0.9900125
2,20,6.0,800,2,GMM,BIC_Neff,2-12,2,1,0,0.9900125
2,20,6.0,800,2,HMM,BIC,2-12,2,1,0,0.9949999922070802
2,20,6.0,800,2,HMM,AIC,2-12,2,1,0,0.9949999922070802
2,20,6.0,800,2,HMM,ICL,2-12,2,1,0,0.9949999922070802
2,20,6.0,800,2,K-Means,Gap (uniform),1-6,2,1,0,0.9900125003128916
2,20,6.0,800,2,K-Means,Prediction Strength,1-6,2,1,0,0.9900125003128916
2,21,6.0,800,2,K-Means,Silhouette,2-12,2,1,0,0.9949999922070802
2,21,6.0,800,2,K-Means,Davies-Bouldin,2-12,2,1,0,0.9949999922070802
2,21,6.0,800,2,K-Means,Calinski-Harabasz,2-12,2,1,0,0.9949999922070802
2,21,6.0,800,2,GMM,BIC,2-12,2,1,0,0.9949999922070802
2,21,6.0,800,2,GMM,AIC,2-12,3,0,1,0.7631161349544731
2,21,6.0,800,2,GMM,ICL,2-12,2,1,0,0.9949999922070802
2,21,6.0,800,2,GMM,BIC_Neff,2-12,3,0,1,0.7631161349544731
2,21,6.0,800,2,HMM,BIC,2-12,2,1,0,0.9949999922070802
2,21,6.0,800,2,HMM,AIC,2-12,2,1,0,0.9949999922070802
2,21,6.0,800,2,HMM,ICL,2-12,2,1,0,0.9949999922070802
2,21,6.0,800,2,K-Means,Gap (uniform),1-6,2,1,0,0.9949999922070802
2,21,6.0,800,2,K-Means,Prediction Strength,1-6,3,0,1,0.7490275026445913
2,22,6.0,800,2,K-Means,Silhouette,2-12,2,1,0,0.9900125
2,22,6.0,800,2,K-Means,Davies-Bouldin,2-12,2,1,0,0.9900125
2,22,6.0,800,2,K-Means,Calinski-Harabasz,2-12,2,1,0,0.9900125
2,22,6.0,800,2,GMM,BIC,2-12,2,1,0,0.9900125
2,22,6.0,800,2,GMM,AIC,2-12,2,1,0,0.9900125
2,22,6.0,800,2,GMM,ICL,2-12,2,1,0,0.9900125
2,22,6.0,800,2,GMM,BIC_Neff,2-12,2,1,0,0.9900125
2,22,6.0,800,2,HMM,BIC,2-12,2,1,0,0.9900125
2,22,6.0,800,2,HMM,AIC,2-12,2,1,0,0.9900125
2,22,6.0,800,2,HMM,ICL,2-12,2,1,0,0.9900125
2,22,6.0,800,2,K-Means,Gap (uniform),1-6,2,1,0,0.9900125
2,22,6.0,800,2,K-Means,Prediction Strength,1-6,3,0,1,0.7462089530596759
2,23,6.0,800,2,K-Means,Silhouette,2-12,2,1,0,0.9850375245509264
2,23,6.0,800,2,K-Means,Davies-Bouldin,2-12,2,1,0,0.9850375245509264
2,23,6.0,800,2,K-Means,Calinski-Harabasz,2-12,2,1,0,0.9850375245509264
2,23,6.0,800,2,GMM,BIC,2-12,2,1,0,0.9800750651535006
2,23,6.0,800,2,GMM,AIC,2-12,2,1,0,0.9800750651535006
2,23,6.0,800,2,GMM,ICL,2-12,2,1,0,0.9800750651535006
2,23,6.0,800,2,GMM,BIC_Neff,2-12,2,1,0,0.9800750651535006
2,23,6.0,800,2,HMM,BIC,2-12,2,1,0,0.9800750651535006
2,23,6.0,800,2,HMM,AIC,2-12,2,1,0,0.9800750651535006
2,23,6.0,800,2,HMM,ICL,2-12,2,1,0,0.9800750651535006
2,23,6.0,800,2,K-Means,Gap (uniform),1-6,2,1,0,0.9850375245509264
2,23,6.0,800,2,K-Means,Prediction Strength,1-6,2,1,0,0.9850375245509264
2,24,6.0,800,2,K-Means,Silhouette,2-12,2,1,0,0.9900125
2,24,6.0,800,2,K-Means,Davies-Bouldin,2-12,2,1,0,0.9900125
2,24,6.0,800,2,K-Means,Calinski-Harabasz,2-12,2,1,0,0.9900125
2,24,6.0,800,2,GMM,BIC,2-12,2,1,0,0.9900125
2,24,6.0,800,2,GMM,AIC,2-12,2,1,0,0.9900125
2,24,6.0,800,2,GMM,ICL,2-12,2,1,0,0.9900125
2,24,6.0,800,2,GMM,BIC_Neff,2-12,2,1,0,0.9900125
2,24,6.0,800,2,HMM,BIC,2-12,2,1,0,0.9900125
2,24,6.0,800,2,HMM,AIC,2-12,2,1,0,0.9900125
2,24,6.0,800,2,HMM,ICL,2-12,2,1,0,0.9900125
2,24,6.0,800,2,K-Means,Gap (uniform),1-6,2,1,0,0.9900125
2,24,6.0,800,2,K-Means,Prediction Strength,1-6,2,1,0,0.9900125
2,25,6.0,800,2,K-Means,Silhouette,2-12,2,1,0,0.9949999922070802
2,25,6.0,800,2,K-Means,Davies-Bouldin,2-12,2,1,0,0.9949999922070802
2,25,6.0,800,2,K-Means,Calinski-Harabasz,2-12,2,1,0,0.9949999922070802
2,25,6.0,800,2,GMM,BIC,2-12,2,1,0,0.9949999922070802
2,25,6.0,800,2,GMM,AIC,2-12,2,1,0,0.9949999922070802
2,25,6.0,800,2,GMM,ICL,2-12,2,1,0,0.9949999922070802
2,25,6.0,800,2,GMM,BIC_Neff,2-12,2,1,0,0.9949999922070802
2,25,6.0,800,2,HMM,BIC,2-12,2,1,0,0.9949999922070802
2,25,6.0,800,2,HMM,AIC,2-12,2,1,0,0.9949999922070802
2,25,6.0,800,2,HMM,ICL,2-12,2,1,0,0.9949999922070802
2,25,6.0,800,2,K-Means,Gap (uniform),1-6,2,1,0,0.9949999922070802
2,25,6.0,800,2,K-Means,Prediction Strength,1-6,2,1,0,0.9949999922070802
2,26,6.0,800,2,K-Means,Silhouette,2-12,2,1,0,0.9949999922070802
2,26,6.0,800,2,K-Means,Davies-Bouldin,2-12,2,1,0,0.9949999922070802
2,26,6.0,800,2,K-Means,Calinski-Harabasz,2-12,2,1,0,0.9949999922070802
2,26,6.0,800,2,GMM,BIC,2-12,2,1,0,0.9949999922070802
2,26,6.0,800,2,GMM,AIC,2-12,2,1,0,0.9949999922070802
2,26,6.0,800,2,GMM,ICL,2-12,2,1,0,0.9949999922070802
2,26,6.0,800,2,GMM,BIC_Neff,2-12,2,1,0,0.9949999922070802
2,26,6.0,800,2,HMM,BIC,2-12,2,1,0,0.9949999922070802
2,26,6.0,800,2,HMM,AIC,2-12,2,1,0,0.9949999922070802
2,26,6.0,800,2,HMM,ICL,2-12,2,1,0,0.9949999922070802
2,26,6.0,800,2,K-Means,Gap (uniform),1-6,2,1,0,0.9949999922070802
2,26,6.0,800,2,K-Means,Prediction Strength,1-6,2,1,0,0.9949999922070802
2,27,6.0,800,2,K-Means,Silhouette,2-12,2,1,0,0.9949999922070802
2,27,6.0,800,2,K-Means,Davies-Bouldin,2-12,2,1,0,0.9949999922070802
2,27,6.0,800,2,K-Means,Calinski-Harabasz,2-12,2,1,0,0.9949999922070802
2,27,6.0,800,2,GMM,BIC,2-12,2,1,0,0.9949999922070802
2,27,6.0,800,2,GMM,AIC,2-12,2,1,0,0.9949999922070802
2,27,6.0,800,2,GMM,ICL,2-12,2,1,0,0.9949999922070802
2,27,6.0,800,2,GMM,BIC_Neff,2-12,2,1,0,0.9949999922070802
2,27,6.0,800,2,HMM,BIC,2-12,3,0,1,0.9776402821123079
2,27,6.0,800,2,HMM,AIC,2-12,3,0,1,0.9776402821123079
2,27,6.0,800,2,HMM,ICL,2-12,3,0,1,0.9776402821123079
2,27,6.0,800,2,K-Means,Gap (uniform),1-6,2,1,0,0.9949999922070802
2,27,6.0,800,2,K-Means,Prediction Strength,1-6,2,1,0,0.9949999922070802
2,28,6.0,800,2,K-Means,Silhouette,2-12,2,1,0,1.0
2,28,6.0,800,2,K-Means,Davies-Bouldin,2-12,2,1,0,1.0
2,28,6.0,800,2,K-Means,Calinski-Harabasz,2-12,2,1,0,1.0
2,28,6.0,800,2,GMM,BIC,2-12,2,1,0,1.0
2,28,6.0,800,2,GMM,AIC,2-12,2,1,0,1.0
2,28,6.0,800,2,GMM,ICL,2-12,2,1,0,1.0
2,28,6.0,800,2,GMM,BIC_Neff,2-12,2,1,0,1.0
2,28,6.0,800,2,HMM,BIC,2-12,2,1,0,1.0
2,28,6.0,800,2,HMM,AIC,2-12,2,1,0,1.0
