k_star,persistence,replication,reference,k,gap,se,log_w,argmax_is_1
2,0.9,1,gaussian,6,0.024110610212914718,0.050272273402172454,2.032136687046433,0
2,0.9,1,lognormal,1,0.014768507639734807,0.04155127464616897,4.930006447948607,0
2,0.9,1,lognormal,2,0.0702391710318353,0.05716451192810778,3.9289240589837724,0
2,0.9,1,lognormal,3,0.09914970687356872,0.07549117455332012,3.236803532754167,0
2,0.9,1,lognormal,4,0.11621531166179944,0.07416264059580385,2.7291683591844658,0
2,0.9,1,lognormal,5,0.13164156405800176,0.08329010852286076,2.320084751035364,0
2,0.9,1,lognormal,6,0.12453139391674162,0.10850488030403722,2.032136687046433,0
2,0.9,2,uniform,1,0.9082703518247639,0.02055118672584321,4.850121450739052,1
2,0.9,2,uniform,2,0.5823673806814944,0.01841631044014543,3.7812321751963656,1
2,0.9,2,uniform,3,0.5225745146301191,0.01913941134375205,3.0279143291357653,1
2,0.9,2,uniform,4,0.37233678169557427,0.019193270081248298,2.5981660035474117,1
2,0.9,2,uniform,5,0.34677903286890155,0.019470723866264486,2.1804340763443153,1
2,0.9,2,uniform,6,0.34363538799518056,0.023791228119446083,1.8131259213970348,1
2,0.9,2,gaussian,1,-0.006883805433339774,0.033699583995992294,4.850121450739052,0
2,0.9,2,gaussian,2,0.05464724212516936,0.04149346314503708,3.7812321751963656,0
2,0.9,2,gaussian,3,0.13867304229666688,0.04794741145965695,3.0279143291357653,0
2,0.9,2,gaussian,4,0.08808698245656243,0.04021711031661966,2.5981660035474117,0
2,0.9,2,gaussian,5,0.13360548325277488,0.041852512069481804,2.1804340763443153,0
2,0.9,2,gaussian,6,0.18413092342832837,0.03536780060632985,1.8131259213970348,0
2,0.9,2,lognormal,1,0.05541096543773261,0.04521384720842602,4.850121450739052,0
2,0.9,2,lognormal,2,0.14214364009037128,0.05718976126475186,3.7812321751963656,0
2,0.9,2,lognormal,3,0.22307205166527533,0.07896348231169724,3.0279143291357653,0
2,0.9,2,lognormal,4,0.19801418180076746,0.05570649786563211,2.5981660035474117,0
2,0.9,2,lognormal,5,0.24884893837421096,0.1018827970036361,2.1804340763443153,0
2,0.9,2,lognormal,6,0.28094324274004934,0.07202231095515436,1.8131259213970348,0
2,0.9,3,uniform,1,1.7175150675394306,0.016915267172305175,5.6949991383123315,1
2,0.9,3,uniform,2,1.2085942409107364,0.022812772349347397,4.806675458009821,1
2,0.9,3,uniform,3,1.0367126016678947,0.02610484483779483,4.16946295719503,1
2,0.9,3,uniform,4,0.9510396507283709,0.01796730818493729,3.685597366499923,1
2,0.9,3,uniform,5,1.045287125495769,0.019758611188952953,3.139099043582513,1
2,0.9,3,uniform,6,1.0011316314580605,0.019509491073447727,2.8122855820839616,1
2,0.9,3,gaussian,1,0.010201397401423229,0.034140043777319454,5.6949991383123315,0
2,0.9,3,gaussian,2,-0.14114478934950636,0.038743445279422924,4.806675458009821,0
2,0.9,3,gaussian,3,-0.13761729561949476,0.04386118955520708,4.16946295719503,0
2,0.9,3,gaussian,4,-0.14311583662130767,0.04312822302600863,3.685597366499923,0
2,0.9,3,gaussian,5,0.010988693992270093,0.04222734493841083,3.139099043582513,0
2,0.9,3,gaussian,6,0.01321749947271389,0.038986344872669804,2.8122855820839616,0
2,0.9,3,lognormal,1,-0.3088988367759189,0.055639873735572776,5.6949991383123315,0
2,0.9,3,lognormal,2,-0.4297003370871195,0.05054582461829055,4.806675458009821,0
2,0.9,3,lognormal,3,-0.42249877895541843,0.06390772003732091,4.16946295719503,0
2,0.9,3,lognormal,4,-0.43268921941933725,0.0827965370288577,3.685597366499923,0
2,0.9,3,lognormal,5,-0.2817280701651783,0.08225986210854713,3.139099043582513,0
2,0.9,3,lognormal,6,-0.2921467877683681,0.0799419190037593,2.8122855820839616,0
2,0.9,4,uniform,1,1.7813697747882609,0.014418575234887439,6.497877535373678,1
2,0.9,4,uniform,2,1.3385390505254273,0.019631305227284502,5.555342574130965,1
2,0.9,4,uniform,3,1.2071178143503323,0.013709180156921234,4.880420534020174,1
2,0.9,4,uniform,4,1.1884051432858396,0.024305326508791858,4.324077867791218,1
2,0.9,4,uniform,5,1.2491426067570681,0.023237247422407258,3.8068641852392386,1
2,0.9,4,uniform,6,1.2890489707275425,0.014033677386843718,3.3967976751653537,1
2,0.9,4,gaussian,1,0.006848286862132902,0.030084331310909485,6.497877535373678,0
2,0.9,4,gaussian,2,-0.06846506977770517,0.04038470551360409,5.555342574130965,0
2,0.9,4,gaussian,3,-0.05015631996250214,0.044731546597943796,4.880420534020174,0
2,0.9,4,gaussian,4,0.030934776989075985,0.03566288869362691,4.324077867791218,0
2,0.9,4,gaussian,5,0.16299042013661058,0.04979230540284627,3.8068641852392386,0
2,0.9,4,gaussian,6,0.24992853867266573,0.05668123600383428,3.3967976751653537,0
2,0.9,4,lognormal,1,-0.5022303231189031,0.05115801322005943,6.497877535373678,0
2,0.9,4,lognormal,2,-0.5219053991725495,0.0792910903738139,5.555342574130965,0
2,0.9,4,lognormal,3,-0.5336729874564474,0.08304440311128992,4.880420534020174,0
2,0.9,4,lognormal,4,-0.42936290745713723,0.07365281176655576,4.324077867791218,0
2,0.9,4,lognormal,5,-0.29795565799897794,0.12284721738292276,3.8068641852392386,0
2,0.9,4,lognormal,6,-0.153161030645109,0.101852632174634,3.3967976751653537,0
2,0.9,5,uniform,1,1.2600896830469495,0.021187996562958486,6.66196795232055,1
2,0.9,5,uniform,2,1.0565469527033686,0.023567552854847462,5.469872228424323,1
2,0.9,5,uniform,3,1.118200939024721,0.018335517430363768,4.599269600139679,1
2,0.9,5,uniform,4,1.065419432389703,0.016490459134113747,4.086101352845695,1
2,0.9,5,uniform,5,1.0141425387361926,0.015493777642553788,3.682596210556403,1
2,0.9,5,uniform,6,1.0463829813502108,0.020602440206854953,3.2835626186252678,1
2,0.9,5,gaussian,1,0.009144965791257675,0.02785399259734878,6.66196795232055,0
2,0.9,5,gaussian,2,0.18804017956231167,0.039002779776308685,5.469872228424323,0
2,0.9,5,gaussian,3,0.4052941241482504,0.03955054653622121,4.599269600139679,0
2,0.9,5,gaussian,4,0.4466633272451421,0.04385666033611358,4.086101352845695,0
2,0.9,5,gaussian,5,0.44467367729072427,0.04566872158634077,3.682596210556403,0
2,0.9,5,gaussian,6,0.49792826047823757,0.04927614598396651,3.2835626186252678,0
2,0.9,5,lognormal,1,-0.6167119994171157,0.036853901868661186,6.66196795232055,0
2,0.9,5,lognormal,2,-0.3652475106581745,0.06728410160314581,5.469872228424323,0
2,0.9,5,lognormal,3,-0.1499694196236403,0.08530100459963277,4.599269600139679,0
2,0.9,5,lognormal,4,-0.10929787242974953,0.1015261587904478,4.086101352845695,0
2,0.9,5,lognormal,5,-0.07634153310616298,0.09672860223021497,3.682596210556403,0
2,0.9,5,lognormal,6,-0.1111304662254069,0.14196375860967517,3.2835626186252678,0
2,0.9,6,uniform,1,1.8305408193475738,0.0250744703678031,5.81917004573247,1
2,0.9,6,uniform,2,1.2079364235331296,0.01767023828565532,5.053552724933186,1
2,0.9,6,uniform,3,1.2644459895529474,0.02040822489450578,4.1909908240414255,1
2,0.9,6,uniform,4,1.2008460682241302,0.023729429490314303,3.6722543302104094,1
2,0.9,6,uniform,5,1.27414156883115,0.01862163896589827,3.14945351989842,1
2,0.9,6,uniform,6,1.2031590068145896,0.01928869722524393,2.8508982523763495,1
2,0.9,6,gaussian,1,0.006962506190060225,0.027368654622159684,5.81917004573247,0
2,0.9,6,gaussian,2,-0.2477289231287001,0.052622296284114266,5.053552724933186,0
2,0.9,6,gaussian,3,-0.029073324835799497,0.035156347861217956,4.1909908240414255,0
2,0.9,6,gaussian,4,0.005424660230659573,0.04114054627526685,3.6722543302104094,0
2,0.9,6,gaussian,5,0.1351821516893401,0.054277401262564286,3.14945351989842,0
2,0.9,6,gaussian,6,0.0906719347861813,0.05406446402035648,2.8508982523763495,0
2,0.9,6,lognormal,1,-0.40714821472865204,0.053975586089235174,5.81917004573247,0
2,0.9,6,lognormal,2,-0.625490413337606,0.07460671471271241,5.053552724933186,0
2,0.9,6,lognormal,3,-0.39258523527270084,0.06406845383991457,4.1909908240414255,0
2,0.9,6,lognormal,4,-0.362251656212361,0.08655527295055941,3.6722543302104094,0
2,0.9,6,lognormal,5,-0.22286700488710132,0.07456661560230664,3.14945351989842,0
2,0.9,6,lognormal,6,-0.28267631790787107,0.09819465114977198,2.8508982523763495,0
2,0.9,7,uniform,1,1.4593928404848562,0.01767579247613167,6.030672251525984,1
2,0.9,7,uniform,2,0.9096089988446696,0.020935760245021376,5.192308722730673,1
2,0.9,7,uniform,3,0.8866503292657599,0.02527243916420952,4.410449577883637,1
2,0.9,7,uniform,4,0.9472660875803891,0.02093259929769731,3.7724837814892087,1
2,0.9,7,uniform,5,0.9202955234900454,0.022559792618577997,3.348043873919117,1
2,0.9,7,uniform,6,0.8525233304049045,0.02293186499987554,3.0475022223826977,1
2,0.9,7,gaussian,1,0.004293771053309747,0.030167818687951015,6.030672251525984,0
2,0.9,7,gaussian,2,-0.17444961568283102,0.04302141416323543,5.192308722730673,0
2,0.9,7,gaussian,3,-0.04842706523150753,0.04825315235659292,4.410449577883637,0
2,0.9,7,gaussian,4,0.11655965672095503,0.04204631419730984,3.7724837814892087,0
2,0.9,7,gaussian,5,0.13873494959423605,0.06191676569827294,3.348043873919117,0
2,0.9,7,gaussian,6,0.11209348110821926,0.06610374202895174,3.0475022223826977,0
2,0.9,7,lognormal,1,-0.1826514439142528,0.061146667666112556,6.030672251525984,0
2,0.9,7,lognormal,2,-0.3269819254825279,0.07983443555273383,5.192308722730673,0
2,0.9,7,lognormal,3,-0.18195963924139225,0.09921733380675522,4.410449577883637,0
2,0.9,7,lognormal,4,-0.05778611200075856,0.08880093385604182,3.7724837814892087,0
2,0.9,7,lognormal,5,0.025877101235844968,0.09251462620940225,3.348043873919117,0
2,0.9,7,lognormal,6,-0.021362771540776926,0.09867796283363617,3.0475022223826977,0
2,0.9,8,uniform,1,1.60021526689939,0.02255391044663615,6.38562334773161,1
2,0.9,8,uniform,2,1.3217572322162061,0.020955908983987408,5.2624782481200025,1
2,0.9,8,uniform,3,1.1895894609323525,0.02498166406773299,4.595184835216811,1
2,0.9,8,uniform,4,1.085584813027995,0.01776377402080708,4.1257037129149365,1
2,0.9,8,uniform,5,1.0362974288496098,0.023347808196365883,3.71496510239966,1
2,0.9,8,uniform,6,1.0116956780970412,0.022045685780603584,3.377855937978799,1
2,0.9,8,gaussian,1,-0.0031049010913966058,0.03661228209229547,6.38562334773161,0
2,0.9,8,gaussian,2,0.10435513795059492,0.03575733323159538,5.2624782481200025,0
2,0.9,8,gaussian,3,0.12202524811271331,0.03858104927174734,4.595184835216811,0
2,0.9,8,gaussian,4,0.1145143039304024,0.04301458912078431,4.1257037129149365,0
2,0.9,8,gaussian,5,0.1511162912695121,0.04482681834782026,3.71496510239966,0
2,0.9,8,gaussian,6,0.14345384170073494,0.058416393723786826,3.377855937978799,0
2,0.9,8,lognormal,1,-0.47852414227168794,0.056240279127473286,6.38562334773161,0
2,0.9,8,lognormal,2,-0.3392469386386514,0.10060068355397579,5.2624782481200025,0
2,0.9,8,lognormal,3,-0.3051581722512564,0.08724739720485793,4.595184835216811,0
2,0.9,8,lognormal,4,-0.292857421556016,0.12046520312223713,4.1257037129149365,0
2,0.9,8,lognormal,5,-0.2924637826081966,0.12777992409804106,3.71496510239966,0
2,0.9,8,lognormal,6,-0.28340548613966954,0.10287092499350621,3.377855937978799,0
2,0.9,9,uniform,1,1.8209421574235733,0.02052382050949391,5.5126617942806835,1
2,0.9,9,uniform,2,1.2814583491377558,0.024173243304721145,4.666534222298587,1
2,0.9,9,uniform,3,1.0835070333206964,0.019596156561748374,4.055627656246897,1
2,0.9,9,uniform,4,1.2250634113207215,0.01782210412970763,3.331059933968701,1
2,0.9,9,uniform,5,1.1990323848989775,0.01860291235243698,2.906720256693835,1
2,0.9,9,uniform,6,1.1895064229725771,0.020176886966043736,2.5559260683960137,1
2,0.9,9,gaussian,1,-0.003468132328166007,0.03517059770976587,5.5126617942806835,0
2,0.9,9,gaussian,2,-0.16888089222814529,0.05184325360530671,4.666534222298587,0
2,0.9,9,gaussian,3,-0.20960266127952742,0.037902117695061625,4.055627656246897,0
2,0.9,9,gaussian,4,0.03958110863277842,0.0500695424972314,3.331059933968701,0
2,0.9,9,gaussian,5,0.08721292646891454,0.06024840561616298,2.906720256693835,0
2,0.9,9,gaussian,6,0.09120147205551588,0.05372703355314772,2.5559260683960137,0
2,0.9,9,lognormal,1,-0.3680374601060947,0.04117852456391159,5.5126617942806835,0
2,0.9,9,lognormal,2,-0.5106466751186858,0.08191221603233578,4.666534222298587,0
2,0.9,9,lognormal,3,-0.5454662602579274,0.08707408282678665,4.055627656246897,0
2,0.9,9,lognormal,4,-0.3017305840032285,0.08385612473069042,3.331059933968701,0
2,0.9,9,lognormal,5,-0.2538600092101082,0.09050365539348879,2.906720256693835,0
2,0.9,9,lognormal,6,-0.2658728808664135,0.0776497263432919,2.5559260683960137,0
2,0.95,0,uniform,1,1.4325167821541482,0.02110354530019892,5.508127884791904,1
2,0.95,0,uniform,2,0.9499649977284763,0.021312930648829286,4.605896861164939,1
2,0.95,0,uniform,3,0.866442118475518,0.022580754066172132,3.8739701652192493,1
2,0.95,0,uniform,4,0.7924271064081507,0.023220082881974177,3.3698683701698746,1
2,0.95,0,uniform,5,0.7653537674467241,0.02163975226141332,2.942285007747038,1
2,0.95,0,uniform,6,0.8629003351239657,0.02405387848256453,2.48417556943123,1
2,0.95,0,gaussian,1,-0.005695990230855763,0.03466623461063364,5.508127884791904,0
2,0.95,0,gaussian,2,-0.10238694341656895,0.03972887783434412,4.605896861164939,0
2,0.95,0,gaussian,3,-0.022823933944920327,0.03782511102040699,3.8739701652192493,0
2,0.95,0,gaussian,4,0.00266454217006018,0.055493339530962894,3.3698683701698746,0
2,0.95,0,gaussian,5,0.03093648385541936,0.04497652755693919,2.942285007747038,0
2,0.95,0,gaussian,6,0.1770801757672733,0.053239171748801675,2.48417556943123,0
2,0.95,0,lognormal,1,-0.05857335712036171,0.05041174852923983,5.508127884791904,0
2,0.95,0,lognormal,2,-0.11917864619848917,0.061669649162019106,4.605896861164939,0
2,0.95,0,lognormal,3,-0.06676146316709364,0.06824764178054527,3.8739701652192493,0
2,0.95,0,lognormal,4,-0.010304710248842941,0.08494089286139651,3.3698683701698746,0
2,0.95,0,lognormal,5,0.014137263399829347,0.09091274821370587,2.942285007747038,0
2,0.95,0,lognormal,6,0.1359086448450353,0.07651484771931509,2.48417556943123,0
2,0.95,1,uniform,1,1.108191620321243,0.024338377726642445,4.911203861681905,1
2,0.95,1,uniform,2,0.7452435730816216,0.0202483804828949,3.89465713938214,1
2,0.95,1,uniform,3,0.5572332096332566,0.017602820235432443,3.2687560513404015,1
2,0.95,1,uniform,4,0.5862344838696618,0.01866625812062426,2.6595754296286853,1
2,0.95,1,uniform,5,0.6271762332370519,0.017679442908353188,2.172821644688042,1
2,0.95,1,uniform,6,0.5303869270887602,0.020015385051701095,1.9040214338021075,1
2,0.95,1,gaussian,1,0.012396916799145785,0.03624498162221628,4.911203861681905,0
2,0.95,1,gaussian,2,-0.0024302450079112248,0.05348893516225058,3.89465713938214,0
2,0.95,1,gaussian,3,-0.04494495219754091,0.03640406465171942,3.2687560513404015,0
2,0.95,1,gaussian,4,0.10302965896471905,0.03326123984047453,2.6595754296286853,0
2,0.95,1,gaussian,5,0.20827022150752894,0.05314577342583152,2.172821644688042,0
2,0.95,1,gaussian,6,0.12625427959540336,0.05398959356544627,1.9040214338021075,0
2,0.95,1,lognormal,1,0.08988098575605896,0.05190838693523247,4.911203861681905,0
2,0.95,1,lognormal,2,0.09318097002307457,0.07310874073394978,3.89465713938214,0
2,0.95,1,lognormal,3,0.06103238881276374,0.04256961955684427,3.2687560513404015,0
2,0.95,1,lognormal,4,0.20416658069716354,0.08892973725097249,2.6595754296286853,0
2,0.95,1,lognormal,5,0.3231277043798255,0.10932606032638371,2.172821644688042,0
2,0.95,1,lognormal,6,0.2258131334980813,0.08880761939978875,1.9040214338021075,0
2,0.95,2,uniform,1,1.0077853989809782,0.021540612519441317,5.447895603041779,1
2,0.95,2,uniform,2,0.7531631717519218,0.01889492455964323,4.318514431491196,1
2,0.95,2,uniform,3,0.5294165733446339,0.021308958902594335,3.7312978124423117,1
2,0.95,2,uniform,4,0.5615828263876708,0.01699135857039414,3.1151685605685153,1
2,0.95,2,uniform,5,0.5877442262281947,0.0194288514330446,2.638726742899947,1
2,0.95,2,uniform,6,0.5349040698088192,0.01702114240137337,2.3293227277720234,1
2,0.95,2,gaussian,1,0.0034676357077660924,0.03493709378553916,5.447895603041779,0
2,0.95,2,gaussian,2,0.11772721510815476,0.031867632079728474,4.318514431491196,0
2,0.95,2,gaussian,3,0.0678086674320042,0.03758962292802512,3.7312978124423117,0
2,0.95,2,gaussian,4,0.19093317593120007,0.039841245828154306,3.1151685605685153,0
2,0.95,2,gaussian,5,0.26631877573585827,0.05577366473129346,2.638726742899947,0
2,0.95,2,gaussian,6,0.22884829535209805,0.05116747499260527,2.3293227277720234,0
2,0.95,2,lognormal,1,-0.039804432416596924,0.0515317140344651,5.447895603041779,0
2,0.95,2,lognormal,2,0.09340461617613993,0.06520474526015548,4.318514431491196,0
2,0.95,2,lognormal,3,0.09382579460120288,0.07631072916347587,3.7312978124423117,0
2,0.95,2,lognormal,4,0.2003053189802757,0.09149118646072311,3.1151685605685153,0
2,0.95,2,lognormal,5,0.2472022890518728,0.09308925605979684,2.638726742899947,0
2,0.95,2,lognormal,6,0.22074168062627342,0.08899156118661841,2.3293227277720234,0
2,0.95,3,uniform,1,1.6385342571504848,0.02032864747312518,6.072585752120818,1
2,0.95,3,uniform,2,1.1376143346940086,0.018335485732494935,5.184891166986135,1
2,0.95,3,uniform,3,1.2337511158930248,0.018362892769528582,4.290528290037134,1
2,0.95,3,uniform,4,1.052561724789261,0.02436499811848498,3.8798799967486715,1
2,0.95,3,uniform,5,1.0568621264616298,0.01941777273923127,3.419787079536309,1
2,0.95,3,uniform,6,1.093951989050836,0.019239615405646934,3.018839634164659,1
2,0.95,3,gaussian,1,0.011656886538765399,0.027754096561867458,6.072585752120818,0
2,0.95,3,gaussian,2,-0.1433879114296559,0.040123332500714176,5.184891166986135,0
2,0.95,3,gaussian,3,0.10740811503336545,0.04615520746542362,4.290528290037134,0
2,0.95,3,gaussian,4,0.04965942117908506,0.04424068773844854,3.8798799967486715,0
2,0.95,3,gaussian,5,0.09346378915395581,0.06044198661442147,3.419787079536309,0
2,0.95,3,gaussian,6,0.2183341680536257,0.06743775466186445,3.018839634164659,0
2,0.95,3,lognormal,1,-0.4454451128511181,0.04818114038484046,6.072585752120818,0
2,0.95,3,lognormal,2,-0.5674828248840162,0.07124029760060514,5.184891166986135,0
2,0.95,3,lognormal,3,-0.29648568927808716,0.09281751032892951,4.290528290037134,0
2,0.95,3,lognormal,4,-0.380704048705637,0.07412106839594094,3.8798799967486715,0
2,0.95,3,lognormal,5,-0.3208179626322347,0.12325420749797333,3.419787079536309,0
2,0.95,3,lognormal,6,-0.21613308288006028,0.10521852711734526,3.018839634164659,0
2,0.95,4,uniform,1,1.4968232305342202,0.018734949792251862,5.075241465864154,1
2,0.95,4,uniform,2,1.028481632278079,0.020607162739606954,4.1562935966506664,1
2,0.95,4,uniform,3,0.8310555809639038,0.022273131211419592,3.543358542459689,1
2,0.95,4,uniform,4,0.7332699638454727,0.021312449707077945,3.0582677067280715,1
2,0.95,4,uniform,5,0.7079322199216889,0.019578040183568627,2.6367587088053077,1
2,0.95,4,uniform,6,0.7297778407766593,0.019172904918891953,2.2487985408269227,1
2,0.95,4,gaussian,1,0.008172049785305724,0.03612133571342504,5.075241465864154,1
2,0.95,4,gaussian,2,-0.10076956753990984,0.037029284562443365,4.1562935966506664,1
2,0.95,4,gaussian,3,-0.1267058895488864,0.05210502002520286,3.543358542459689,1
2,0.95,4,gaussian,4,-0.144534680443126,0.04332744318121917,3.0582677067280715,1
2,0.95,4,gaussian,5,-0.09650628573181708,0.06162206806426098,2.6367587088053077,1
2,0.95,4,gaussian,6,-0.026928285859682433,0.033776256620525934,2.2487985408269227,1
2,0.95,4,lognormal,1,-0.0950482876895915,0.04906721430829631,5.075241465864154,1
2,0.95,4,lognormal,2,-0.18120679132202744,0.052833751094602484,4.1562935966506664,1
2,0.95,4,lognormal,3,-0.21401567771974817,0.06064448417959725,3.543358542459689,1
2,0.95,4,lognormal,4,-0.23172370821650023,0.06550687437247925,3.0582677067280715,1
2,0.95,4,lognormal,5,-0.16880975115157026,0.08821855269809471,2.6367587088053077,1
2,0.95,4,lognormal,6,-0.13118449185165604,0.055934071180085,2.2487985408269227,1
2,0.95,5,uniform,1,1.3865633023324717,0.023946644180167887,5.6244469342145065,1
2,0.95,5,uniform,2,0.9281777950055954,0.025656100621676618,4.698488033426694,1
2,0.95,5,uniform,3,1.0748843232708651,0.022387957218125577,3.737270222947749,1
2,0.95,5,uniform,4,1.101081572124008,0.024143817727272216,3.1338996046650354,1
2,0.95,5,uniform,5,0.9683950770367042,0.01436367293340117,2.809030967524309,1
2,0.95,5,uniform,6,0.9494470763195033,0.0176388565991183,2.466682450366341,1
2,0.95,5,gaussian,1,0.011725115640361494,0.03615031246653426,5.6244469342145065,0
2,0.95,5,gaussian,2,-0.10000359913559187,0.03827540899412672,4.698488033426694,0
2,0.95,5,gaussian,3,0.22411517142602477,0.04715444441051247,3.737270222947749,0
2,0.95,5,gaussian,4,0.34963189151473806,0.046153548963888874,3.1338996046650354,0
2,0.95,5,gaussian,5,0.2719726394966031,0.034774029264154176,2.809030967524309,0
2,0.95,5,gaussian,6,0.30786751897836995,0.043508974258826015,2.466682450366341,0
2,0.95,5,lognormal,1,-0.28837350017945695,0.04440053273951173,5.6244469342145065,0
2,0.95,5,lognormal,2,-0.3687399597053158,0.0898784857598942,4.698488033426694,0
2,0.95,5,lognormal,3,-0.032249435440908414,0.06677835337344679,3.737270222947749,0
2,0.95,5,lognormal,4,0.08752347467271138,0.0684257575497208,3.1338996046650354,0
2,0.95,5,lognormal,5,0.02502855816092442,0.11791528824942214,2.809030967524309,0
2,0.95,5,lognormal,6,0.05096234836456581,0.09095046691972851,2.466682450366341,0
2,0.95,6,uniform,1,1.7127744138427978,0.02231885070186765,5.359766685733823,1
2,0.95,6,uniform,2,1.2784802694756037,0.02075153426504745,4.408080905486126,1
2,0.95,6,uniform,3,1.0716518105966628,0.01924595713147649,3.797784173966633,1
2,0.95,6,uniform,4,0.9776368904485873,0.019330027484171872,3.3052365338843304,1
2,0.95,6,uniform,5,1.0108323594180648,0.019892609933134416,2.8298383356666057,1
2,0.95,6,uniform,6,1.0596994486139661,0.01677061969143907,2.409737329780464,1
2,0.95,6,gaussian,1,-0.0032325471143295204,0.04386130277430456,5.359766685733823,0
2,0.95,6,gaussian,2,-0.058337190069388534,0.03623509402675838,4.408080905486126,0
2,0.95,6,gaussian,3,-0.11888391349658534,0.04973956568434205,3.797784173966633,0
2,0.95,6,gaussian,4,-0.09066405846222114,0.050310972162182055,3.3052365338843304,0
2,0.95,6,gaussian,5,-0.015276420086978604,0.06604660795599948,2.8298383356666057,0
2,0.95,6,gaussian,6,0.07749814210101036,0.03844931444310003,2.409737329780464,0
2,0.95,6,lognormal,1,-0.1314468271277196,0.06582915065272364,5.359766685733823,0
2,0.95,6,lognormal,2,-0.14192343653145212,0.05879163198583289,4.408080905486126,0
2,0.95,6,lognormal,3,-0.2295626058052398,0.06771040198221989,3.797784173966633,0
2,0.95,6,lognormal,4,-0.16414051644739347,0.08890474190378658,3.3052365338843304,0
2,0.95,6,lognormal,5,-0.12007525715277234,0.11201274741088059,2.8298383356666057,0
2,0.95,6,lognormal,6,-0.04122224744743752,0.09589987667349048,2.409737329780464,0
2,0.95,7,uniform,1,1.9030708619463281,0.017553651539516938,5.984891508687515,1
2,0.95,7,uniform,2,1.3352258270213309,0.025456595777213365,5.163109195090145,1
2,0.95,7,uniform,3,1.1444122726832333,0.017847447540376073,4.542841456775001,1
2,0.95,7,uniform,4,1.116891958896864,0.019279953075383088,3.993871315968838,1
2,0.95,7,uniform,5,1.2013597939836624,0.021445834417320526,3.466982898226322,1
2,0.95,7,uniform,6,1.165545526999995,0.018127264999133377,3.130674223042869,1
2,0.95,7,gaussian,1,0.005571974373161481,0.03219674055415333,5.984891508687515,1
2,0.95,7,gaussian,2,-0.20242571673834409,0.038242902836768025,5.163109195090145,1
2,0.95,7,gaussian,3,-0.22055960503235017,0.04660610352711967,4.542841456775001,1
2,0.95,7,gaussian,4,-0.1576297854518156,0.056003985705362753,3.993871315968838,1
2,0.95,7,gaussian,5,-0.005629708146185131,0.031247073964220825,3.466982898226322,1
2,0.95,7,gaussian,6,-0.012954178187603027,0.04879766923759409,3.130674223042869,1
2,0.95,7,lognormal,1,-0.2804825330193026,0.05534372840853036,5.984891508687515,0
2,0.95,7,lognormal,2,-0.469931835303413,0.07051314035005447,5.163109195090145,0
2,0.95,7,lognormal,3,-0.44050290634066336,0.07260355118510084,4.542841456775001,0
