Condition,Persistent,Skewed,Smoothed,Replication,True_k,Method,Criterion,Estimated_k,Exact_Match,Signed_Bias,ARI_at_Estimated_k,ARI_at_True_k
---,0,0,0,2,3,HMM,ICL,3,1,0,1.0,1.0
---,0,0,0,2,3,K-Means,Gap (uniform),3,1,0,1.0,1.0
---,0,0,0,2,3,K-Means,Prediction Strength,3,1,0,1.0,1.0
---,0,0,0,3,3,K-Means,Silhouette,3,1,0,1.0,1.0
---,0,0,0,3,3,K-Means,Davies-Bouldin,3,1,0,1.0,1.0
---,0,0,0,3,3,K-Means,Calinski-Harabasz,12,0,9,0.350985848152358,1.0
---,0,0,0,3,3,GMM,BIC,3,1,0,1.0,1.0
---,0,0,0,3,3,GMM,AIC,3,1,0,1.0,1.0
---,0,0,0,3,3,GMM,ICL,3,1,0,1.0,1.0
---,0,0,0,3,3,GMM,BIC_Neff,3,1,0,1.0,1.0
---,0,0,0,3,3,HMM,BIC,6,0,3,0.5726822075909473,0.5311301488896445
---,0,0,0,3,3,HMM,AIC,6,0,3,0.5726822075909473,0.5311301488896445
---,0,0,0,3,3,HMM,ICL,8,0,5,0.7765443247495478,0.5311301488896445
---,0,0,0,3,3,K-Means,Gap (uniform),3,1,0,1.0,1.0
---,0,0,0,3,3,K-Means,Prediction Strength,3,1,0,1.0,1.0
---,0,0,0,4,3,K-Means,Silhouette,3,1,0,1.0,1.0
---,0,0,0,4,3,K-Means,Davies-Bouldin,3,1,0,1.0,1.0
---,0,0,0,4,3,K-Means,Calinski-Harabasz,12,0,9,0.35639710430683635,1.0
---,0,0,0,4,3,GMM,BIC,3,1,0,1.0,1.0
---,0,0,0,4,3,GMM,AIC,3,1,0,1.0,1.0
---,0,0,0,4,3,GMM,ICL,3,1,0,1.0,1.0
---,0,0,0,4,3,GMM,BIC_Neff,3,1,0,1.0,1.0
---,0,0,0,4,3,HMM,BIC,5,0,2,0.7907101223709896,0.5093642035006659
---,0,0,0,4,3,HMM,AIC,5,0,2,0.7907101223709896,0.5093642035006659
---,0,0,0,4,3,HMM,ICL,7,0,4,0.728203329652211,0.5093642035006659
---,0,0,0,4,3,K-Means,Gap (uniform),3,1,0,1.0,1.0
---,0,0,0,4,3,K-Means,Prediction Strength,6,0,3,0.5731665205483035,1.0
---,0,0,0,5,3,K-Means,Silhouette,3,1,0,1.0,1.0
---,0,0,0,5,3,K-Means,Davies-Bouldin,3,1,0,1.0,1.0
---,0,0,0,5,3,K-Means,Calinski-Harabasz,12,0,9,0.3441728118839563,1.0
---,0,0,0,5,3,GMM,BIC,3,1,0,1.0,1.0
---,0,0,0,5,3,GMM,AIC,3,1,0,1.0,1.0
---,0,0,0,5,3,GMM,ICL,3,1,0,1.0,1.0
---,0,0,0,5,3,GMM,BIC_Neff,3,1,0,1.0,1.0
---,0,0,0,5,3,HMM,BIC,4,0,1,0.9970204177648119,0.5304077200383515
---,0,0,0,5,3,HMM,AIC,4,0,1,0.9970204177648119,0.5304077200383515
---,0,0,0,5,3,HMM,ICL,4,0,1,0.9970204177648119,0.5304077200383515
---,0,0,0,5,3,K-Means,Gap (uniform),3,1,0,1.0,1.0
---,0,0,0,5,3,K-Means,Prediction Strength,3,1,0,1.0,1.0
---,0,0,0,6,3,K-Means,Silhouette,3,1,0,1.0,1.0
---,0,0,0,6,3,K-Means,Davies-Bouldin,3,1,0,1.0,1.0
---,0,0,0,6,3,K-Means,Calinski-Harabasz,12,0,9,0.3452717245470699,1.0
---,0,0,0,6,3,GMM,BIC,3,1,0,1.0,1.0
---,0,0,0,6,3,GMM,AIC,3,1,0,1.0,1.0
---,0,0,0,6,3,GMM,ICL,3,1,0,1.0,1.0
---,0,0,0,6,3,GMM,BIC_Neff,3,1,0,1.0,1.0
---,0,0,0,6,3,HMM,BIC,6,0,3,0.8446828416233438,0.49329448953479577
---,0,0,0,6,3,HMM,AIC,6,0,3,0.8446828416233438,0.49329448953479577
---,0,0,0,6,3,HMM,ICL,7,0,4,0.8273364449204754,0.49329448953479577
---,0,0,0,6,3,K-Means,Gap (uniform),3,1,0,1.0,1.0
---,0,0,0,6,3,K-Means,Prediction Strength,5,0,2,0.7279098748977926,1.0
---,0,0,0,7,3,K-Means,Silhouette,3,1,0,1.0,1.0
---,0,0,0,7,3,K-Means,Davies-Bouldin,3,1,0,1.0,1.0
---,0,0,0,7,3,K-Means,Calinski-Harabasz,12,0,9,0.34076268973717944,1.0
---,0,0,0,7,3,GMM,BIC,3,1,0,1.0,1.0
---,0,0,0,7,3,GMM,AIC,3,1,0,1.0,1.0
---,0,0,0,7,3,GMM,ICL,3,1,0,1.0,1.0
---,0,0,0,7,3,GMM,BIC_Neff,3,1,0,1.0,1.0
---,0,0,0,7,3,HMM,BIC,4,0,1,0.8956167800405732,0.4970542695497593
---,0,0,0,7,3,HMM,AIC,4,0,1,0.8956167800405732,0.4970542695497593
---,0,0,0,7,3,HMM,ICL,4,0,1,0.8956167800405732,0.4970542695497593
---,0,0,0,7,3,K-Means,Gap (uniform),3,1,0,1.0,1.0
---,0,0,0,7,3,K-Means,Prediction Strength,3,1,0,1.0,1.0
---,0,0,0,8,3,K-Means,Silhouette,3,1,0,1.0,1.0
---,0,0,0,8,3,K-Means,Davies-Bouldin,3,1,0,1.0,1.0
---,0,0,0,8,3,K-Means,Calinski-Harabasz,12,0,9,0.34549261152406757,1.0
---,0,0,0,8,3,GMM,BIC,3,1,0,1.0,1.0
---,0,0,0,8,3,GMM,AIC,3,1,0,1.0,1.0
---,0,0,0,8,3,GMM,ICL,3,1,0,1.0,1.0
---,0,0,0,8,3,GMM,BIC_Neff,3,1,0,1.0,1.0
---,0,0,0,8,3,HMM,BIC,3,1,0,1.0,1.0
---,0,0,0,8,3,HMM,AIC,3,1,0,1.0,1.0
---,0,0,0,8,3,HMM,ICL,3,1,0,1.0,1.0
---,0,0,0,8,3,K-Means,Gap (uniform),3,1,0,1.0,1.0
---,0,0,0,8,3,K-Means,Prediction Strength,5,0,2,0.7292412596080148,1.0
---,0,0,0,9,3,K-Means,Silhouette,3,1,0,1.0,1.0
---,0,0,0,9,3,K-Means,Davies-Bouldin,3,1,0,1.0,1.0
---,0,0,0,9,3,K-Means,Calinski-Harabasz,12,0,9,0.3536547765093048,1.0
---,0,0,0,9,3,GMM,BIC,3,1,0,1.0,1.0
---,0,0,0,9,3,GMM,AIC,3,1,0,1.0,1.0
---,0,0,0,9,3,GMM,ICL,3,1,0,1.0,1.0
---,0,0,0,9,3,GMM,BIC_Neff,3,1,0,1.0,1.0
---,0,0,0,9,3,HMM,BIC,5,0,2,0.8617652541194808,0.5509283473503497
---,0,0,0,9,3,HMM,AIC,5,0,2,0.8617652541194808,0.5509283473503497
---,0,0,0,9,3,HMM,ICL,5,0,2,0.8617652541194808,0.5509283473503497
---,0,0,0,9,3,K-Means,Gap (uniform),3,1,0,1.0,1.0
---,0,0,0,9,3,K-Means,Prediction Strength,6,0,3,0.576624039703667,1.0
---,0,0,0,10,3,K-Means,Silhouette,3,1,0,1.0,1.0
---,0,0,0,10,3,K-Means,Davies-Bouldin,3,1,0,1.0,1.0
---,0,0,0,10,3,K-Means,Calinski-Harabasz,12,0,9,0.34782464522856404,1.0
---,0,0,0,10,3,GMM,BIC,3,1,0,1.0,1.0
---,0,0,0,10,3,GMM,AIC,3,1,0,1.0,1.0
---,0,0,0,10,3,GMM,ICL,3,1,0,1.0,1.0
---,0,0,0,10,3,GMM,BIC_Neff,3,1,0,1.0,1.0
---,0,0,0,10,3,HMM,BIC,3,1,0,1.0,1.0
---,0,0,0,10,3,HMM,AIC,3,1,0,1.0,1.0
---,0,0,0,10,3,HMM,ICL,3,1,0,1.0,1.0
---,0,0,0,10,3,K-Means,Gap (uniform),3,1,0,1.0,1.0
---,0,0,0,10,3,K-Means,Prediction Strength,3,1,0,1.0,1.0
---,0,0,0,11,3,K-Means,Silhouette,3,1,0,1.0,1.0
---,0,0,0,11,3,K-Means,Davies-Bouldin,3,1,0,1.0,1.0
---,0,0,0,11,3,K-Means,Calinski-Harabasz,12,0,9,0.3520870711031324,1.0
---,0,0,0,11,3,GMM,BIC,3,1,0,1.0,1.0
---,0,0,0,11,3,GMM,AIC,3,1,0,1.0,1.0
---,0,0,0,11,3,GMM,ICL,3,1,0,1.0,1.0
---,0,0,0,11,3,GMM,BIC_Neff,3,1,0,1.0,1.0
---,0,0,0,11,3,HMM,BIC,3,1,0,1.0,1.0
---,0,0,0,11,3,HMM,AIC,3,1,0,1.0,1.0
---,0,0,0,11,3,HMM,ICL,3,1,0,1.0,1.0
---,0,0,0,11,3,K-Means,Gap (uniform),3,1,0,1.0,1.0
---,0,0,0,11,3,K-Means,Prediction Strength,3,1,0,1.0,1.0
---,0,0,0,12,3,K-Means,Silhouette,3,1,0,1.0,1.0
---,0,0,0,12,3,K-Means,Davies-Bouldin,3,1,0,1.0,1.0
---,0,0,0,12,3,K-Means,Calinski-Harabasz,12,0,9,0.35281251410653697,1.0
---,0,0,0,12,3,GMM,BIC,3,1,0,1.0,1.0
---,0,0,0,12,3,GMM,AIC,3,1,0,1.0,1.0
---,0,0,0,12,3,GMM,ICL,3,1,0,1.0,1.0
---,0,0,0,12,3,GMM,BIC_Neff,3,1,0,1.0,1.0
---,0,0,0,12,3,HMM,BIC,3,1,0,1.0,1.0
---,0,0,0,12,3,HMM,AIC,3,1,0,1.0,1.0
---,0,0,0,12,3,HMM,ICL,3,1,0,1.0,1.0
---,0,0,0,12,3,K-Means,Gap (uniform),3,1,0,1.0,1.0
---,0,0,0,12,3,K-Means,Prediction Strength,3,1,0,1.0,1.0
---,0,0,0,13,3,K-Means,Silhouette,3,1,0,1.0,1.0
---,0,0,0,13,3,K-Means,Davies-Bouldin,3,1,0,1.0,1.0
---,0,0,0,13,3,K-Means,Calinski-Harabasz,12,0,9,0.34531756239893996,1.0
---,0,0,0,13,3,GMM,BIC,3,1,0,1.0,1.0
---,0,0,0,13,3,GMM,AIC,3,1,0,1.0,1.0
---,0,0,0,13,3,GMM,ICL,3,1,0,1.0,1.0
---,0,0,0,13,3,GMM,BIC_Neff,3,1,0,1.0,1.0
---,0,0,0,13,3,HMM,BIC,4,0,1,0.8740742696806801,0.49698768529348364
---,0,0,0,13,3,HMM,AIC,4,0,1,0.8740742696806801,0.49698768529348364
---,0,0,0,13,3,HMM,ICL,4,0,1,0.8740742696806801,0.49698768529348364
---,0,0,0,13,3,K-Means,Gap (uniform),3,1,0,1.0,1.0
---,0,0,0,13,3,K-Means,Prediction Strength,6,0,3,0.5749204221217387,1.0
---,0,0,0,14,3,K-Means,Silhouette,3,1,0,1.0,1.0
---,0,0,0,14,3,K-Means,Davies-Bouldin,3,1,0,1.0,1.0
---,0,0,0,14,3,K-Means,Calinski-Harabasz,12,0,9,0.36058718761823444,1.0
---,0,0,0,14,3,GMM,BIC,3,1,0,1.0,1.0
---,0,0,0,14,3,GMM,AIC,3,1,0,1.0,1.0
---,0,0,0,14,3,GMM,ICL,3,1,0,1.0,1.0
---,0,0,0,14,3,GMM,BIC_Neff,3,1,0,1.0,1.0
---,0,0,0,14,3,HMM,BIC,5,0,2,0.7628789580896252,0.5161927775336171
---,0,0,0,14,3,HMM,AIC,5,0,2,0.7628789580896252,0.5161927775336171
---,0,0,0,14,3,HMM,ICL,5,0,2,0.7628789580896252,0.5161927775336171
---,0,0,0,14,3,K-Means,Gap (uniform),3,1,0,1.0,1.0
---,0,0,0,14,3,K-Means,Prediction Strength,6,0,3,0.57423352124686,1.0
---,0,0,0,15,3,K-Means,Silhouette,3,1,0,1.0,1.0
---,0,0,0,15,3,K-Means,Davies-Bouldin,3,1,0,1.0,1.0
---,0,0,0,15,3,K-Means,Calinski-Harabasz,12,0,9,0.3420653948193544,1.0
---,0,0,0,15,3,GMM,BIC,3,1,0,1.0,1.0
---,0,0,0,15,3,GMM,AIC,3,1,0,1.0,1.0
---,0,0,0,15,3,GMM,ICL,3,1,0,1.0,1.0
---,0,0,0,15,3,GMM,BIC_Neff,3,1,0,1.0,1.0
---,0,0,0,15,3,HMM,BIC,4,0,1,0.9976643534219901,0.5539151377927539
---,0,0,0,15,3,HMM,AIC,4,0,1,0.9976643534219901,0.5539151377927539
---,0,0,0,15,3,HMM,ICL,4,0,1,0.9976643534219901,0.5539151377927539
---,0,0,0,15,3,K-Means,Gap (uniform),3,1,0,1.0,1.0
---,0,0,0,15,3,K-Means,Prediction Strength,4,0,1,0.8754875871227793,1.0
---,0,0,0,16,3,K-Means,Silhouette,3,1,0,1.0,1.0
---,0,0,0,16,3,K-Means,Davies-Bouldin,3,1,0,1.0,1.0
---,0,0,0,16,3,K-Means,Calinski-Harabasz,12,0,9,0.35327849400003625,1.0
---,0,0,0,16,3,GMM,BIC,3,1,0,1.0,1.0
---,0,0,0,16,3,GMM,AIC,3,1,0,1.0,1.0
---,0,0,0,16,3,GMM,ICL,3,1,0,1.0,1.0
---,0,0,0,16,3,GMM,BIC_Neff,3,1,0,1.0,1.0
---,0,0,0,16,3,HMM,BIC,3,1,0,1.0,1.0
---,0,0,0,16,3,HMM,AIC,3,1,0,1.0,1.0
---,0,0,0,16,3,HMM,ICL,3,1,0,1.0,1.0
---,0,0,0,16,3,K-Means,Gap (uniform),3,1,0,1.0,1.0
---,0,0,0,16,3,K-Means,Prediction Strength,3,1,0,1.0,1.0
---,0,0,0,17,3,K-Means,Silhouette,3,1,0,1.0,1.0
---,0,0,0,17,3,K-Means,Davies-Bouldin,3,1,0,1.0,1.0
---,0,0,0,17,3,K-Means,Calinski-Harabasz,12,0,9,0.3389024247565101,1.0
---,0,0,0,17,3,GMM,BIC,3,1,0,1.0,1.0
---,0,0,0,17,3,GMM,AIC,3,1,0,1.0,1.0
---,0,0,0,17,3,GMM,ICL,3,1,0,1.0,1.0
---,0,0,0,17,3,GMM,BIC_Neff,3,1,0,1.0,1.0
---,0,0,0,17,3,HMM,BIC,5,0,2,0.9743774494166548,0.5035147413806713
---,0,0,0,17,3,HMM,AIC,5,0,2,0.9743774494166548,0.5035147413806713
---,0,0,0,17,3,HMM,ICL,5,0,2,0.9743774494166548,0.5035147413806713
---,0,0,0,17,3,K-Means,Gap (uniform),3,1,0,1.0,1.0
---,0,0,0,17,3,K-Means,Prediction Strength,6,0,3,0.5737960645218838,1.0
---,0,0,0,18,3,K-Means,Silhouette,3,1,0,1.0,1.0
---,0,0,0,18,3,K-Means,Davies-Bouldin,3,1,0,1.0,1.0
---,0,0,0,18,3,K-Means,Calinski-Harabasz,12,0,9,0.3490451832353061,1.0
---,0,0,0,18,3,GMM,BIC,3,1,0,1.0,1.0
---,0,0,0,18,3,GMM,AIC,3,1,0,1.0,1.0
---,0,0,0,18,3,GMM,ICL,3,1,0,1.0,1.0
---,0,0,0,18,3,GMM,BIC_Neff,3,1,0,1.0,1.0
---,0,0,0,18,3,HMM,BIC,4,0,1,0.9976351908470323,0.4896852600202463
---,0,0,0,18,3,HMM,AIC,4,0,1,0.9976351908470323,0.4896852600202463
---,0,0,0,18,3,HMM,ICL,4,0,1,0.9976351908470323,0.4896852600202463
---,0,0,0,18,3,K-Means,Gap (uniform),3,1,0,1.0,1.0
---,0,0,0,18,3,K-Means,Prediction Strength,3,1,0,1.0,1.0
---,0,0,0,19,3,K-Means,Silhouette,3,1,0,1.0,1.0
---,0,0,0,19,3,K-Means,Davies-Bouldin,3,1,0,1.0,1.0
---,0,0,0,19,3,K-Means,Calinski-Harabasz,12,0,9,0.34495637364811893,1.0
---,0,0,0,19,3,GMM,BIC,3,1,0,1.0,1.0
---,0,0,0,19,3,GMM,AIC,4,0,1,0.8603786442550106,1.0
---,0,0,0,19,3,GMM,ICL,3,1,0,1.0,1.0
---,0,0,0,19,3,GMM,BIC_Neff,3,1,0,1.0,1.0
---,0,0,0,19,3,HMM,BIC,5,0,2,0.9790458165873043,0.5365205354558454
---,0,0,0,19,3,HMM,AIC,5,0,2,0.9790458165873043,0.5365205354558454
---,0,0,0,19,3,HMM,ICL,5,0,2,0.9790458165873043,0.5365205354558454
---,0,0,0,19,3,K-Means,Gap (uniform),3,1,0,1.0,1.0
---,0,0,0,19,3,K-Means,Prediction Strength,5,0,2,0.7249838523724196,1.0
---,0,0,0,20,3,K-Means,Silhouette,3,1,0,1.0,1.0
---,0,0,0,20,3,K-Means,Davies-Bouldin,3,1,0,1.0,1.0
---,0,0,0,20,3,K-Means,Calinski-Harabasz,12,0,9,0.3465073677361806,1.0
---,0,0,0,20,3,GMM,BIC,3,1,0,1.0,1.0
---,0,0,0,20,3,GMM,AIC,3,1,0,1.0,1.0
---,0,0,0,20,3,GMM,ICL,3,1,0,1.0,1.0
---,0,0,0,20,3,GMM,BIC_Neff,3,1,0,1.0,1.0
---,0,0,0,20,3,HMM,BIC,4,0,1,0.8793539029761105,0.566562278223832
---,0,0,0,20,3,HMM,AIC,4,0,1,0.8793539029761105,0.566562278223832
---,0,0,0,20,3,HMM,ICL,4,0,1,0.8793539029761105,0.566562278223832
---,0,0,0,20,3,K-Means,Gap (uniform),3,1,0,1.0,1.0
---,0,0,0,20,3,K-Means,Prediction Strength,3,1,0,1.0,1.0
---,0,0,0,21,3,K-Means,Silhouette,3,1,0,1.0,1.0
---,0,0,0,21,3,K-Means,Davies-Bouldin,3,1,0,1.0,1.0
---,0,0,0,21,3,K-Means,Calinski-Harabasz,12,0,9,0.34084463629952866,1.0
---,0,0,0,21,3,GMM,BIC,3,1,0,1.0,1.0
---,0,0,0,21,3,GMM,AIC,3,1,0,1.0,1.0
---,0,0,0,21,3,GMM,ICL,3,1,0,1.0,1.0
---,0,0,0,21,3,GMM,BIC_Neff,3,1,0,1.0,1.0
---,0,0,0,21,3,HMM,BIC,4,0,1,0.9992230319060715,0.4989454126384299
---,0,0,0,21,3,HMM,AIC,4,0,1,0.9992230319060715,0.4989454126384299
---,0,0,0,21,3,HMM,ICL,4,0,1,0.9992230319060715,0.4989454126384299
---,0,0,0,21,3,K-Means,Gap (uniform),3,1,0,1.0,1.0
---,0,0,0,21,3,K-Means,Prediction Strength,3,1,0,1.0,1.0
---,0,0,0,22,3,K-Means,Silhouette,3,1,0,1.0,1.0
---,0,0,0,22,3,K-Means,Davies-Bouldin,3,1,0,1.0,1.0
---,0,0,0,22,3,K-Means,Calinski-Harabasz,12,0,9,0.3654000844013284,1.0
---,0,0,0,22,3,GMM,BIC,3,1,0,1.0,1.0
---,0,0,0,22,3,GMM,AIC,3,1,0,1.0,1.0
---,0,0,0,22,3,GMM,ICL,3,1,0,1.0,1.0
---,0,0,0,22,3,GMM,BIC_Neff,3,1,0,1.0,1.0
---,0,0,0,22,3,HMM,BIC,5,0,2,0.873701021486444,0.49231721163087666
---,0,0,0,22,3,HMM,AIC,5,0,2,0.873701021486444,0.49231721163087666
---,0,0,0,22,3,HMM,ICL,5,0,2,0.873701021486444,0.49231721163087666
---,0,0,0,22,3,K-Means,Gap (uniform),3,1,0,1.0,1.0
---,0,0,0,22,3,K-Means,Prediction Strength,3,1,0,1.0,1.0
---,0,0,0,23,3,K-Means,Silhouette,3,1,0,1.0,1.0
---,0,0,0,23,3,K-Means,Davies-Bouldin,3,1,0,1.0,1.0
---,0,0,0,23,3,K-Means,Calinski-Harabasz,12,0,9,0.3459760316658911,1.0
---,0,0,0,23,3,GMM,BIC,3,1,0,1.0,1.0
---,0,0,0,23,3,GMM,AIC,3,1,0,1.0,1.0
---,0,0,0,23,3,GMM,ICL,3,1,0,1.0,1.0
---,0,0,0,23,3,GMM,BIC_Neff,3,1,0,1.0,1.0
---,0,0,0,23,3,HMM,BIC,5,0,2,0.9962905154884674,0.5232780253698222
---,0,0,0,23,3,HMM,AIC,5,0,2,0.9962905154884674,0.5232780253698222
---,0,0,0,23,3,HMM,ICL,5,0,2,0.9962905154884674,0.5232780253698222
---,0,0,0,23,3,K-Means,Gap (uniform),3,1,0,1.0,1.0
---,0,0,0,23,3,K-Means,Prediction Strength,3,1,0,1.0,1.0
---,0,0,0,24,3,K-Means,Silhouette,3,1,0,1.0,1.0
---,0,0,0,24,3,K-Means,Davies-Bouldin,3,1,0,1.0,1.0
---,0,0,0,24,3,K-Means,Calinski-Harabasz,12,0,9,0.34675816084085764,1.0
---,0,0,0,24,3,GMM,BIC,3,1,0,1.0,1.0
---,0,0,0,24,3,GMM,AIC,3,1,0,1.0,1.0
---,0,0,0,24,3,GMM,ICL,3,1,0,1.0,1.0
---,0,0,0,24,3,GMM,BIC_Neff,3,1,0,1.0,1.0
---,0,0,0,24,3,HMM,BIC,3,1,0,1.0,1.0
---,0,0,0,24,3,HMM,AIC,3,1,0,1.0,1.0
---,0,0,0,24,3,HMM,ICL,3,1,0,1.0,1.0
---,0,0,0,24,3,K-Means,Gap (uniform),3,1,0,1.0,1.0
---,0,0,0,24,3,K-Means,Prediction Strength,3,1,0,1.0,1.0
---,0,0,0,25,3,K-Means,Silhouette,3,1,0,1.0,1.0
---,0,0,0,25,3,K-Means,Davies-Bouldin,3,1,0,1.0,1.0
---,0,0,0,25,3,K-Means,Calinski-Harabasz,12,0,9,0.34855527483021487,1.0
---,0,0,0,25,3,GMM,BIC,3,1,0,1.0,1.0
---,0,0,0,25,3,GMM,AIC,3,1,0,1.0,1.0
---,0,0,0,25,3,GMM,ICL,3,1,0,1.0,1.0
---,0,0,0,25,3,GMM,BIC_Neff,3,1,0,1.0,1.0
---,0,0,0,25,3,HMM,BIC,4,0,1,0.9750623201004256,0.5190721018611643
---,0,0,0,25,3,HMM,AIC,4,0,1,0.9750623201004256,0.5190721018611643
---,0,0,0,25,3,HMM,ICL,4,0,1,0.9750623201004256,0.5190721018611643
---,0,0,0,25,3,K-Means,Gap (uniform),3,1,0,1.0,1.0
---,0,0,0,25,3,K-Means,Prediction Strength,6,0,3,0.5710998513087084,1.0
---,0,0,0,26,3,K-Means,Silhouette,3,1,0,1.0,1.0
---,0,0,0,26,3,K-Means,Davies-Bouldin,3,1,0,1.0,1.0
---,0,0,0,26,3,K-Means,Calinski-Harabasz,12,0,9,0.3411649368464725,1.0
---,0,0,0,26,3,GMM,BIC,3,1,0,1.0,1.0
---,0,0,0,26,3,GMM,AIC,3,1,0,1.0,1.0
---,0,0,0,26,3,GMM,ICL,3,1,0,1.0,1.0
---,0,0,0,26,3,GMM,BIC_Neff,3,1,0,1.0,1.0
---,0,0,0,26,3,HMM,BIC,4,0,1,0.9947681081415096,0.5278239126501153
---,0,0,0,26,3,HMM,AIC,4,0,1,0.9947681081415096,0.5278239126501153
---,0,0,0,26,3,HMM,ICL,4,0,1,0.9947681081415096,0.5278239126501153
---,0,0,0,26,3,K-Means,Gap (uniform),3,1,0,1.0,1.0
---,0,0,0,26,3,K-Means,Prediction Strength,5,0,2,0.7151962085591206,1.0
---,0,0,0,27,3,K-Means,Silhouette,3,1,0,1.0,1.0
---,0,0,0,27,3,K-Means,Davies-Bouldin,3,1,0,1.0,1.0
---,0,0,0,27,3,K-Means,Calinski-Harabasz,12,0,9,0.3442566437234713,1.0
---,0,0,0,27,3,GMM,BIC,3,1,0,1.0,1.0
---,0,0,0,27,3,GMM,AIC,3,1,0,1.0,1.0
---,0,0,0,27,3,GMM,ICL,3,1,0,1.0,1.0
---,0,0,0,27,3,GMM,BIC_Neff,3,1,0,1.0,1.0
---,0,0,0,27,3,HMM,BIC,3,1,0,1.0,1.0
---,0,0,0,27,3,HMM,AIC,3,1,0,1.0,1.0
---,0,0,0,27,3,HMM,ICL,3,1,0,1.0,1.0
---,0,0,0,27,3,K-Means,Gap (uniform),3,1,0,1.0,1.0
---,0,0,0,27,3,K-Means,Prediction Strength,6,0,3,0.5728597127761457,1.0
---,0,0,0,28,3,K-Means,Silhouette,3,1,0,1.0,1.0
---,0,0,0,28,3,K-Means,Davies-Bouldin,3,1,0,1.0,1.0
---,0,0,0,28,3,K-Means,Calinski-Harabasz,12,0,9,0.34629949142720473,1.0
---,0,0,0,28,3,GMM,BIC,3,1,0,1.0,1.0
---,0,0,0,28,3,GMM,AIC,3,1,0,1.0,1.0
---,0,0,0,28,3,GMM,ICL,3,1,0,1.0,1.0
---,0,0,0,28,3,GMM,BIC_Neff,3,1,0,1.0,1.0
---,0,0,0,28,3,HMM,BIC,4,0,1,1.0,0.5590437635392018
---,0,0,0,28,3,HMM,AIC,4,0,1,1.0,0.5590437635392018
---,0,0,0,28,3,HMM,ICL,4,0,1,1.0,0.5590437635392018
---,0,0,0,28,3,K-Means,Gap (uniform),3,1,0,1.0,1.0
---,0,0,0,28,3,K-Means,Prediction Strength,3,1,0,1.0,1.0
---,0,0,0,29,3,K-Means,Silhouette,3,1,0,1.0,1.0
---,0,0,0,29,3,K-Means,Davies-Bouldin,3,1,0,1.0,1.0
---,0,0,0,29,3,K-Means,Calinski-Harabasz,12,0,9,0.34933310103965676,1.0
---,0,0,0,29,3,GMM,BIC,3,1,0,1.0,1.0
---,0,0,0,29,3,GMM,AIC,3,1,0,1.0,1.0
---,0,0,0,29,3,GMM,ICL,3,1,0,1.0,1.0
---,0,0,0,29,3,GMM,BIC_Neff,3,1,0,1.0,1.0
